facility,"Total Completed
Appointments 1","Completed within
30 Days 2",,,"Percent
Appts
Complete
d in 30
Days or
Less 3","Completed in
Over 30 Days 4","Percent
Appts
Complete
d in Over
30 Days 5","Completed 0-7 Days
6",,"Completed 8-14
Days 7","Completed 15-30
Days 8","Completed 31-60
Days 9","Completed 61-90
Days 10","Completed 91-120
Days 11","Completed in
more than 120
Days 12","PC Avg
Wait Time
in Days
13","SC Avg
Wait Time
in Days
14","MH Avg
Wait Time
in Days
15",
(V04) (562GA) Crawford County,,799,731,,,91.49%,68,8.51%,619,,52,60,60,8,0,0,12,6,1,
(V04) (562GB) Ashtabula County,,848,844,,,99.53%,4,0.47%,753,,58,33,4,0,0,0,3,0,2,
(V04) (562GC) McKean County,,272,269,,,98.90%,3,1.10%,212,,38,19,2,1,0,0,4,10,0,
(V04) (562GD) Venango County,,554,549,,,99.10%,5,0.90%,490,,34,25,5,0,0,0,3,7,1.70,
(V04) (562GE) Warren,,563,563,,,100.00%,0,0.00%,481,,67,15,0,0,0,0,3,0,0,
"(V04) (595) Lebanon, PA",,"25,168","24,682",,,98.07%,486,1.93%,"21,970",,"1,441","1,271",317,101,47,21,3,5,2,
(V04) (595) Lebanon VAMC,,"17,539","17,118",,,97.60%,421,2.40%,"15,335",,897,886,261,95,44,21,2,5,2,
(V04) (595GA) Camp Hill,,"2,684","2,649",,,98.70%,35,1.30%,"2,273",,223,153,32,2,1,0,3,5,3,
(V04) (595GC) Lancaster,,"1,212","1,208",,,99.67%,4,0.33%,"1,136",,34,38,4,0,0,0,1,1.30,2,
(V04) (595GD) Berks County,,"1,084","1,077",,,99.35%,7,0.65%,940,,96,41,5,1,1,0,2.30,9,4,
(V04) (595GE) York,,"2,258","2,240",,,99.20%,18,0.80%,"2,005",,122,113,15,3,0,0,3,2,2,
(V04) (595GF) Pottsville,,391,390,,,99.74%,1,0.26%,281,,69,40,0,0,1,0,6,,4,
"(V04) (642) Philadelphia, PA",,"33,690","32,634",,,96.87%,"1,056",3.13%,"29,275",,"1,795","1,564",752,179,91,34,4,5,2,
"(V04) (642) Corporal M. J. Crescenz
VAMC",,"27,972","27,097",,,96.87%,875,3.13%,"24,323",,"1,432","1,342",630,147,69,29,4,4.50,2,
"(V04) (642GA) Burlington County VA
Clinic",,"1,391","1,350",,,97.05%,41,2.95%,"1,213",,75,62,29,8,4,0,5,3,2,
"(V04) (642GC) Victor J. Saracini VA
OPC",,"2,237","2,136",,,95.49%,101,4.51%,"1,790",,226,120,70,14,13,4,5,11,5,
(V04) (642GD) Gloucester County,,"2,090","2,051",,,98.13%,39,1.87%,"1,949",,62,40,23,10,5,1,2,5,0.50,
"(V04) (646) Pittsburgh, PA",,"34,166","33,005",,,96.60%,"1,161",3.40%,"27,537",,"2,775","2,693",928,145,75,13,5,7.30,2,
,,,,,,,,,,,,,,,,,,,,
"Completed Appointment Wait Times National,
Facility, and Division Level Summaries.
Wait Time Measured from Preferred Date
For the Reporting Period Ending: December
2016",,"Total Completed
Appointments 1","Completed within
30 Days 2",,,"Percent
Appts
Complete
d in 30
Days or
Less 3","Completed in
Over 30 Days 4","Percent
Appts
Complete
d in Over
30 Days 5","Completed 0-7 Days
6",,"Completed 8-14
Days 7","Completed 15-30
Days 8","Completed 31-60
Days 9","Completed 61-90
Days 10","Completed 91-120
Days 11","Completed in
more than 120
Days 12","PC Avg
Wait Time
in Days
13","SC Avg
Wait Time
in Days
14","MH Avg
Wait Time
in Days
15",
"(V04) (646) Pittsburgh VAMC
University Dr",,"21,757","20,832",,,95.75%,925,4.25%,"16,946",,"1,850","2,036",774,105,37,9,7,8,1,
"(V04) (646A4) H. John Heinz III
VAMC",,"6,591","6,441",,,97.72%,150,2.28%,"5,554",,468,419,94,24,29,3,5,6,1,
(V04) (646GA) Belmont County,,"1,253","1,224",,,97.69%,29,2.31%,"1,037",,117,70,24,4,1,0,5,3,3,
(V04) (646GB) Westmoreland County,,"1,196","1,184",,,99.00%,12,1.00%,"1,039",,105,40,9,3,0,0,3,2,2,
(V04) (646GC) Beaver County,,"1,063","1,052",,,98.97%,11,1.03%,917,,84,51,10,0,0,1,4,3,4.50,
(V04) (646GD) Washington County,,"1,257","1,226",,,97.53%,31,2.47%,"1,064",,103,59,14,9,8,0,5,3,4,
(V04) (646GE) Fayette County,,"1,049","1,046",,,99.71%,3,0.29%,980,,48,18,3,0,0,0,2,2,1,
"(V04) (693) Wilkes-Barre, PA",,"22,397","21,993",,,98.20%,404,1.80%,"20,067",,942,984,317,62,14,11,2,3.40,7,
(V04) (693) Wilkes-Barre VAMC,,"15,743","15,463",,,98.22%,280,1.78%,"14,029",,686,748,228,43,8,1,2,4,5,
(V04) (693B4) Allentown,,"4,098","4,015",,,97.97%,83,2.03%,"3,666",,185,164,57,11,5,10,2,3,10,
(V04) (693GA) Sayre,,"1,079","1,052",,,97.50%,27,2.50%,961,,43,48,25,2,0,0,2,1.80,8,
(V04) (693GB) Williamsport,,811,798,,,98.40%,13,1.60%,764,,20,14,6,6,1,0,1,0,7,
(V04) (693GC) Tobyhanna,,113,113,,,100.00%,0,0.00%,106,,4,3,0,0,0,0,1,,7,
(V04) (693GF) Columbia County,,231,230,,,99.57%,1,0.43%,227,,0,3,1,0,0,0,0,,7.50,
(V04) (693GG) Northampton County,,322,322,,,100.00%,0,0.00%,314,,4,4,0,0,0,0,0.70,0,4,
"(V05) (512) Baltimore HCS, MD",,"41,036","40,152",,,97.85%,884,2.15%,"35,850",,"2,206","2,096",651,180,36,17,4,5,2,
"(V05) (512) Baltimore VA Medical
Center",,"24,742","24,171",,,97.69%,571,2.31%,"21,556",,"1,312","1,303",400,130,25,16,4.40,5.40,0,
(V05) (512A5) Perry Point,,"7,051","7,035",,,99.77%,16,0.23%,"6,647",,235,153,16,0,0,0,3,2,1,
(V05) (512GA) Cambridge,,"2,210","2,180",,,98.64%,30,1.36%,"1,981",,104,95,20,4,6,0,2,6,3.20,
(V05) (512GC) Glen Burnie,,"1,769","1,608",,,90.90%,161,9.10%,"1,176",,198,234,133,24,4,0,7,19.40,10,
(V05) (512GD) Loch Raven,,"3,009","2,926",,,97.24%,83,2.76%,"2,555",,194,177,62,20,0,1,4,6,3,
(V05) (512GE) Pocomoke City,,513,510,,,99.42%,3,0.58%,456,,37,17,0,2,1,0,3,,7,
(V05) (512GF) Fort Howard,,432,431,,,99.77%,1,0.23%,401,,14,16,1,0,0,0,2.40,,2,
(V05) (512GG) Fort Meade,,"1,310","1,291",,,98.55%,19,1.45%,"1,078",,112,101,19,0,0,0,4,4,4,
"(V05) (613) Martinsburg, WV",,"29,793","28,903",,,97.01%,890,2.99%,"25,426",,"1,670","1,807",754,100,21,15,4,8,4,
"(V05) (613) Martinsburg VA Medical
Center",,"21,826","21,029",,,96.35%,797,3.65%,"18,560",,"1,107","1,362",682,83,18,14,4,8,3,
(V05) (613BU) VADOM Martinsburg,,609,609,,,100.00%,0,0.00%,573,,30,6,0,0,0,0,,0.00,4,
(V05) (613GA) Cumberland,,"1,209","1,205",,,99.67%,4,0.33%,"1,040",,104,61,4,0,0,0,3,4,3,
(V05) (613GB) Hagerstown,,"1,238","1,233",,,99.60%,5,0.40%,"1,040",,110,83,4,0,0,1,4.10,8,4,
(V05) (613GC) Stephens City,,"1,866","1,837",,,98.45%,29,1.55%,"1,555",,154,128,26,3,0,0,4,5,6,
(V05) (613GD) Franklin,,76,76,,,100.00%,0,0.00%,74,,2,0,0,0,0,0,1.00,10.00,0.00,
(V05) (613GE) Petersburg,,371,369,,,99.46%,2,0.54%,335,,20,14,1,1,0,0,3,2,1,
(V05) (613GF) Harrisonburg,,"1,048","1,033",,,98.57%,15,1.43%,939,,44,50,11,4,0,0,4,0,5,
(V05) (613GG) Fort Detrick,,"1,550","1,512",,,97.55%,38,2.45%,"1,310",,99,103,26,9,3,0,3,5.70,4,
"(V05) (688) Washington, DC",,"40,134","39,325",,,97.98%,809,2.02%,"36,417",,"1,556","1,352",623,157,27,2,3,3.70,1.90,
"(V05) (688) Washington VA Medical
Center",,"34,539","33,862",,,98.04%,677,1.96%,"31,511",,"1,247","1,104",504,144,27,2,3,4,2,
(V05) (688GA) Fort Belvoir,,"2,162","2,113",,,97.73%,49,2.27%,"1,835",,163,115,39,10,0,0,3,7,3,
(V05) (688GB) Southeast Washington,,293,290,,,98.98%,3,1.02%,276,,5,9,2,1,0,0,2,5,0,
(V05) (688GD) Charlotte Hall,,"1,377","1,320",,,95.86%,57,4.14%,"1,140",,104,76,56,1,0,0,5,6,5.80,
"(V05) (688GE) Southern Prince
Georges County",,"1,763","1,740",,,98.70%,23,1.30%,"1,655",,37,48,22,1,0,0,2,2,1,
"(V06) (517) Beckley, WV",,"10,934","10,487",,,95.91%,447,4.09%,"9,279",,589,619,360,61,25,1,5,8,2,
(V06) (517) Beckley VAMC,,"10,252","9,821",,,95.80%,431,4.20%,"8,724",,518,579,344,61,25,1,4,8,1,
,,,,,,,,,,,,,,,,,,,,
"Completed Appointment Wait Times National,
Facility, and Division Level Summaries.
Wait Time Measured from Preferred Date
For the Reporting Period Ending: December
2016",,"Total Completed
Appointments 1","Completed within
30 Days 2",,,"Percent
Appts
Complete
d in 30
Days or
Less 3","Completed in
Over 30 Days 4","Percent
Appts
Complete
d in Over
30 Days 5","Completed 0-7 Days
6",,"Completed 8-14
Days 7","Completed 15-30
Days 8","Completed 31-60
Days 9","Completed 61-90
Days 10","Completed 91-120
Days 11","Completed in
more than 120
Days 12","PC Avg
Wait Time
in Days
13","SC Avg
Wait Time
in Days
14","MH Avg
Wait Time
in Days
15",
(V06) (517GB) Greenbrier County,,481,466,,,96.88%,15,3.12%,405,,35,26,15,0,0,0,6,0,4,
(V06) (517QA) Princeton,,201,200,,,99.50%,1,0.50%,150,,36,14,1,0,0,0,5,1,,
"(V06) (558) Durham, NC",,"43,271","40,739",,,94.15%,"2,532",5.85%,"35,179",,"2,699","2,861","1,705",613,140,74,5,9,3,
(V06) (558) Durham VAMC,,"28,622","27,010",,,94.37%,"1,612",5.63%,"23,401",,"1,812","1,797","1,113",382,70,47,5,8,2.00,
(V06) (558GA) Greenville,,"8,631","7,887",,,91.38%,744,8.62%,"6,599",,566,722,446,211,61,26,7,13,3,
(V06) (558GB) Raleigh,,"4,361","4,275",,,98.03%,86,1.97%,"3,783",,227,265,71,9,6,0,6,5,3,
(V06) (558GC) Morehead City,,"1,499","1,409",,,94.00%,90,6.00%,"1,238",,94,77,75,11,3,1,4,4,11,
(V06) (558GG) Raleigh III,,158,158,,,100.00%,0,0.00%,158,,0,0,0,0,0,0,0,0,0.00,
"(V06) (565) Fayetteville, NC",,"36,949","34,443",,,93.22%,"2,506",6.78%,"29,361",,"2,418","2,664","1,552",535,239,180,5,14,4,
(V06) (565) Fayetteville VAMC,,"9,422","9,007",,,95.60%,415,4.40%,"8,357",,307,343,177,125,57,56,0,8,4,
(V06) (565GA) Jacksonville VA Clinic,,"2,572","2,480",,,96.42%,92,3.58%,"2,111",,211,158,84,6,2,0,5,12,4,
(V06) (565GC) Wilmington,,"6,290","5,653",,,89.87%,637,10.13%,"4,779",,429,445,347,120,74,96,8,19,5,
(V06) (565GD) Hamlet,,603,572,,,94.86%,31,5.14%,473,,42,57,24,6,0,1,6,48.50,8,
(V06) (565GE) Robeson County,,904,895,,,99.00%,9,1.00%,829,,34,32,5,3,1,0,1.50,17,6,
(V06) (565GF) Goldsboro,,962,954,,,99.17%,8,0.83%,854,,66,34,7,1,0,0,3,0.00,1,
(V06) (565GG) Lee County,,788,785,,,99.62%,3,0.38%,717,,43,25,3,0,0,0,2,4,1,
(V06) (565GL) Cumberland County,,"15,135","13,825",,,91.34%,"1,310",8.66%,"11,052",,"1,277","1,496",904,274,105,27,4,15,4,
(V06) (565MB) IDES Fort Bragg,,143,142,,,99.30%,1,0.70%,122,,3,17,1,0,0,0,,6,0.40,
(V06) (565MD) IDES Camp Lejeune,,130,130,,,100.00%,0,0.00%,67,,6,57,0,0,0,0,,21,4,
"(V06) (590) Hampton, VA",,"30,061","28,212",,,93.85%,"1,849",6.15%,"24,253",,"1,720","2,239","1,282",362,195,10,8,9,7,
(V06) (590) Hampton VAMC,,"25,332","23,806",,,93.98%,"1,526",6.02%,"20,662",,"1,403","1,741","1,085",257,175,9,8,9,6,
(V06) (590GB) Virginia Beach,,"2,125","1,984",,,93.36%,141,6.64%,"1,558",,145,281,71,66,3,1,8,10,11,
(V06) (590GC) Albemarle,,765,733,,,95.82%,32,4.18%,629,,36,68,31,0,1,0,8,0.00,5,
(V06) (590GD) Chesapeake,,"1,640","1,490",,,90.85%,150,9.15%,"1,294",,85,111,95,39,16,0,9,2.50,8,
(V06) (590MA) IDES Portsmouth,,77,77,,,100.00%,0,0.00%,30,,15,32,0,0,0,0,,9,13,
(V06) (590MB) IDES Langley,,50,50,,,100.00%,0,0.00%,37,,10,3,0,0,0,0,,6,,
(V06) (590MC) IDES Fort Eustis,,72,72,,,100.00%,0,0.00%,43,,26,3,0,0,0,0,,6,7,
"(V06) (637) Asheville, NC",,"28,220","26,245",,,93.00%,"1,975",7.00%,"22,539",,"1,885","1,821","1,370",486,103,16,5,11,3,
(V06) (637) Charles George VAMC,,"22,672","20,868",,,92.04%,"1,804",7.96%,"17,836",,"1,512","1,520","1,206",479,103,16,5,12,3,
(V06) (637GA) Franklin,,"1,213","1,209",,,99.67%,4,0.33%,"1,095",,65,49,4,0,0,0,3,2,4,
(V06) (637GB) Rutherford County,,"1,163","1,156",,,99.40%,7,0.60%,"1,036",,80,40,5,2,0,0,3,3,4,
(V06) (637GC) Hickory,,"3,172","3,012",,,94.96%,160,5.04%,"2,572",,228,212,155,5,0,0,6.40,6,3,
"(V06) (652) Richmond, VA",,"43,163","41,582",,,96.34%,"1,581",3.66%,"36,622",,"2,736","2,224",846,380,170,185,3,8,3,
"(V06) (652) Hunter Holmes McGuire
Hospital",,"37,941","36,408",,,95.96%,"1,533",4.04%,"31,867",,"2,468","2,073",799,380,169,185,3,8,3,
(V06) (652GA) Fredericksburg,,"1,879","1,868",,,99.41%,11,0.59%,"1,695",,123,50,11,0,0,0,2,6,2,
"(V06) (652GB) Fredericksburg 2 VA
Clinic",,"1,100","1,092",,,99.27%,8,0.73%,"1,025",,42,25,8,0,0,0,1,1,3,
(V06) (652GE) Charlottesville,,"1,609","1,596",,,99.19%,13,0.81%,"1,462",,77,57,13,0,0,0,2,6,1,
(V06) (652GF) Emporia,,634,618,,,97.48%,16,2.52%,573,,26,19,15,0,1,0,2,10,2,
"(V06) (658) Salem, VA",,"28,630","26,969",,,94.20%,"1,661",5.80%,"23,397",,"1,810","1,762",987,357,244,73,4,11,2,
(V06) (658) Salem VAMC,,"23,430","21,835",,,93.19%,"1,595",6.81%,"18,850",,"1,488","1,497",931,347,244,73,4,11,2,
(V06) (658GA) Tazewell,,161,161,,,100.00%,0,0.00%,143,,13,5,0,0,0,0,3,,0.00,
(V06) (658GB) Danville,,"1,697","1,697",,,100.00%,0,0.00%,"1,574",,91,32,0,0,0,0,1,0,2,
(V06) (658GC) Lynchburg,,"1,360","1,306",,,96.03%,54,3.97%,"1,021",,118,167,44,10,0,0,9,0.00,6,
,,,,,,,,,,,,,,,,,,,,
"Completed Appointment Wait Times National,
Facility, and Division Level Summaries.
Wait Time Measured from Preferred Date
For the Reporting Period Ending: December
2016",,"Total Completed
Appointments 1","Completed within
30 Days 2",,,"Percent
Appts
Complete
d in 30
Days or
Less 3","Completed in
Over 30 Days 4","Percent
Appts
Complete
d in Over
30 Days 5","Completed 0-7 Days
6",,"Completed 8-14
Days 7","Completed 15-30
Days 8","Completed 31-60
Days 9","Completed 61-90
Days 10","Completed 91-120
Days 11","Completed in
more than 120
Days 12","PC Avg
Wait Time
in Days
13","SC Avg
Wait Time
in Days
14","MH Avg
Wait Time
in Days
15",
(V06) (658GD) Staunton,,915,910,,,99.45%,5,0.55%,843,,51,16,5,0,0,0,3,1,0.10,
(V06) (658GE) Wytheville,,"1,067","1,060",,,99.34%,7,0.66%,966,,49,45,7,0,0,0,3.90,0,1,
"(V06) (659) Salisbury, NC",,"49,199","46,151",,,93.80%,"3,048",6.20%,"38,218",,"3,490","4,443","2,060",711,165,112,5,10,5,
"(V06) (659) W.G. (Bill) Hefner
Salisbury VAMC",,"23,895","22,386",,,93.68%,"1,509",6.32%,"19,001",,"1,502","1,883",956,359,106,88,5,9.00,4,
(V06) (659BY) Kernersville,,"11,894","11,270",,,94.75%,624,5.25%,"9,057",,942,"1,271",468,106,28,22,5,9,6,
(V06) (659BZ) South Charlotte,,"11,557","10,665",,,92.28%,892,7.72%,"8,748",,838,"1,079",613,246,31,2,5,12.80,6,
(V06) (659GA) North Charlotte,,"1,853","1,830",,,98.76%,23,1.24%,"1,412",,208,210,23,0,0,0,4,8,2,
"(V07) (508) Atlanta, GA",,"67,818","65,206",,,96.15%,"2,612",3.85%,"55,667",,"4,352","5,187","1,867",532,134,79,4,9,2,
"(V07) (508) Atlanta VA Medical
Center",,"37,303","35,711",,,95.73%,"1,592",4.27%,"30,190",,"2,511","3,010","1,126",322,97,47,4,9,1,
(V07) (508GA) Fort McPherson,,"5,287","5,166",,,97.71%,121,2.29%,"4,521",,271,374,109,12,0,0,4,12,2,
(V07) (508GE) Oakwood,,"2,902","2,859",,,98.52%,43,1.48%,"2,508",,169,182,29,5,6,3,4,8,1,
(V07) (508GF) Austell,,"1,940","1,935",,,99.74%,5,0.26%,"1,798",,70,67,4,0,1,0,2,8,1,
(V07) (508GG) Stockbridge,,"2,146","2,106",,,98.14%,40,1.86%,"1,868",,104,134,29,9,2,0,4,8,1,
(V07) (508GH) Lawrenceville,,"2,365","2,364",,,99.96%,1,0.04%,"2,119",,143,102,1,0,0,0,2,7,1,
(V07) (508GI) Newnan,,"1,533","1,528",,,99.67%,5,0.33%,"1,310",,115,103,5,0,0,0,4,0.90,3,
(V07) (508GJ) Blairsville,,958,936,,,97.70%,22,2.30%,826,,61,49,17,5,0,0,6,2,1,
"(V07) (508GK) Trinka Davis Veterans
Village",,"2,239","2,132",,,95.22%,107,4.78%,"1,692",,162,278,96,11,0,0,9,8.20,1.40,
(V07) (508QC) Henderson Mill,,33,33,,,100.00%,0,0.00%,33,,0,0,0,0,0,0,,,0,
(V07) (508QF) Atlanta VA Clinic,,"11,112","10,436",,,93.92%,676,6.08%,"8,802",,746,888,451,168,28,29,4,9,2,
"(V07) (509) Augusta, GA",,"27,624","26,272",,,95.11%,"1,352",4.89%,"22,213",,"1,926","2,133","1,077",218,32,25,6,8,3,
"(V07) (509) Charlie Norwood VA
Medical Center",,"12,116","11,365",,,93.80%,751,6.20%,"9,391",,936,"1,038",592,116,24,19,,8,3.70,
(V07) (509A0) Lenwood (Uptown),,"12,264","11,747",,,95.78%,517,4.22%,"10,039",,780,928,404,99,8,6,7,6,3,
(V07) (509GA) Athens,,"1,772","1,698",,,95.82%,74,4.18%,"1,454",,132,112,71,3,0,0,9,3,2.00,
(V07) (509GB) Aiken,,"1,472","1,462",,,99.32%,10,0.68%,"1,329",,78,55,10,0,0,0,3,10,2,
"(V07) (521) Birmingham, AL",,"45,403","43,642",,,96.12%,"1,761",3.88%,"38,693",,"2,444","2,505","1,296",417,32,16,3,8,2,
"(V07) (521) Birmingham VA Medical
Center",,"24,680","23,510",,,95.26%,"1,170",4.74%,"20,644",,"1,305","1,561",844,284,30,12,2,10,2,
(V07) (521GA) Huntsville AL,,"6,184","5,933",,,95.94%,251,4.06%,"5,089",,420,424,159,86,2,4,6,7,3,
"(V07) (521GC) Florence AL (Shoals
Area)",,"1,470","1,470",,,100.00%,0,0.00%,"1,238",,172,60,0,0,0,0,4,1,3,
(V07) (521GD) Rainbow City,,"1,413","1,411",,,99.86%,2,0.14%,"1,337",,51,23,2,0,0,0,1,1,2.40,
(V07) (521GE) Anniston/Oxford AL,,"1,557","1,557",,,100.00%,0,0.00%,"1,433",,95,29,0,0,0,0,2,0,3,
(V07) (521GF) Jasper AL,,"1,048","1,044",,,99.62%,4,0.38%,"1,021",,18,5,2,2,0,0,1,2,1,
(V07) (521GG) Bessemer,,868,854,,,98.39%,14,1.61%,821,,19,14,11,3,0,0,3,1,1,
(V07) (521GH) Childersburg,,"1,122","1,122",,,100.00%,0,0.00%,"1,097",,15,10,0,0,0,0,1,0,1,
(V07) (521GI) Guntersville,,"1,270","1,265",,,99.61%,5,0.39%,"1,190",,58,17,4,1,0,0,1,4,2,
(V07) (521GJ) Birmingham VA Clinic,,"5,581","5,266",,,94.36%,315,5.64%,"4,613",,291,362,274,41,0,0,4,6,3,
(V07) (521QA) Callahan,,210,210,,,100.00%,0,0.00%,210,,0,0,0,0,0,0,,0,,
"(V07) (534) Charleston, SC",,"47,349","45,999",,,97.15%,"1,350",2.85%,"41,273",,"2,319","2,407","1,037",220,61,32,2.30,8,3,
"(V07) (534) Ralph H Johnsons VA
Medical Center",,"24,389","23,474",,,96.25%,915,3.75%,"21,112",,"1,086","1,276",685,164,40,26,2,8,1.70,
(V07) (534BY) Savannah,,"6,206","6,070",,,97.81%,136,2.19%,"5,334",,328,408,121,11,2,2,3.30,7,4,
(V07) (534GB) Myrtle Beach,,"5,919","5,747",,,97.09%,172,2.91%,"5,068",,381,298,125,31,16,0,2,12,5,
(V07) (534GC) Beaufort,,"2,314","2,288",,,98.88%,26,1.12%,"2,096",,89,103,24,2,0,0,3,2,2,
(V07) (534GD) Goose Creek,,"4,871","4,790",,,98.34%,81,1.66%,"4,299",,282,209,64,11,3,3,2,7,3,
,,,,,,,,,,,,,,,,,,,,
"Completed Appointment Wait Times National,
Facility, and Division Level Summaries.
Wait Time Measured from Preferred Date
For the Reporting Period Ending: December
2016",,"Total Completed
Appointments 1","Completed within
30 Days 2",,,"Percent
Appts
Complete
d in 30
Days or
Less 3","Completed in
Over 30 Days 4","Percent
Appts
Complete
d in Over
30 Days 5","Completed 0-7 Days
6",,"Completed 8-14
Days 7","Completed 15-30
Days 8","Completed 31-60
Days 9","Completed 61-90
Days 10","Completed 91-120
Days 11","Completed in
more than 120
Days 12","PC Avg
Wait Time
in Days
13","SC Avg
Wait Time
in Days
14","MH Avg
Wait Time
in Days
15",
(V07) (534GE) Hinesville,,"3,380","3,360",,,99.41%,20,0.59%,"3,094",,153,113,18,1,0,1,1,5,2,
(V07) (534GF) Trident 1,,44,44,,,100.00%,0,0.00%,44,,0,0,0,0,0,0,,,,
(V07) (534QA) Market Commons,,35,35,,,100.00%,0,0.00%,35,,0,0,0,0,0,0,,,0,
(V07) (534QB) Trident 2,,1,1,,,100.00%,0,0.00%,1,,0,0,0,0,0,0,,,,
(V07) (534QC) Charleston,,190,190,,,100.00%,0,0.00%,190,,0,0,0,0,0,0,,,,
"(V07) (544) Columbia, SC",,"49,069","46,290",,,94.34%,"2,779",5.66%,"39,169",,"3,594","3,527","1,621",681,238,239,7,11,3,
"(V07) (544) Wm. Jennings Bryan
Dorn VA Medical Center",,"32,903","30,948",,,94.06%,"1,955",5.94%,"26,407",,"2,427","2,114","1,073",478,194,210,6,11,2,
(V07) (544BZ) Greenville SC,,"5,881","5,579",,,94.86%,302,5.14%,"4,468",,435,676,197,78,18,9,7.90,8,5,
(V07) (544GB) Florence,,"1,869","1,806",,,96.63%,63,3.37%,"1,579",,112,115,59,3,0,1,6.20,6,0,
(V07) (544GC) Rock Hill,,"2,390","2,369",,,99.12%,21,0.88%,"2,212",,109,48,10,10,1,0,2,,3,
(V07) (544GD) Anderson,,"1,907","1,648",,,86.42%,259,13.58%,"1,196",,201,251,123,96,22,18,19,15,5,
(V07) (544GE) Orangeburg,,995,904,,,90.85%,91,9.15%,802,,60,42,85,5,1,0,9,,2,
(V07) (544GF) Sumter,,"1,413","1,352",,,95.68%,61,4.32%,"1,108",,98,146,50,9,2,0,8,,4,
(V07) (544GG) Spartanburg,,"1,547","1,526",,,98.64%,21,1.36%,"1,287",,135,104,18,2,0,1,5.30,3,3,
"(V07) (544HK) Columbia VA Mobile
Clinic",,164,158,,,96.34%,6,3.66%,110,,17,31,6,0,0,0,,7,,
"(V07) (557) Dublin, GA",,"23,469","21,804",,,92.91%,"1,665",7.09%,"19,206",,"1,273","1,325",980,318,314,53,6,16,3,
"(V07) (557) Carl Vinson VA Medical
Center",,"15,611","14,233",,,91.17%,"1,378",8.83%,"12,553",,784,896,778,266,284,50,7,18,2,
(V07) (557GA) Macon,,"1,817","1,754",,,96.53%,63,3.47%,"1,549",,141,64,48,13,2,0,5,0,5,
(V07) (557GB) Albany,,"2,217","2,116",,,95.44%,101,4.56%,"1,844",,118,154,81,11,6,3,7,6,2,
(V07) (557GC) Milledgeville,,610,608,,,99.67%,2,0.33%,586,,12,10,2,0,0,0,1,3,2,
(V07) (557GE) Brunswick,,"1,459","1,446",,,99.11%,13,0.89%,"1,211",,144,91,12,0,1,0,2,7,4,
(V07) (557GF) Tift County,,893,864,,,96.75%,29,3.25%,818,,24,22,20,9,0,0,5,2,1,
(V07) (557HA) Perry,,862,783,,,90.84%,79,9.16%,645,,50,88,39,19,21,0,7,19,9,
"(V07) (619) Central Alabama Veterans HCS, AL",,"27,113","24,904",,,91.85%,"2,209",8.15%,"21,905",,"1,217","1,782","1,430",544,158,77,6,13.20,5,
"(V07) (619) Central Alabama VAMC -
Montgomery",,"6,377","5,820",,,91.27%,557,8.73%,"4,843",,358,619,327,147,46,37,0.00,13,5,
"(V07) (619A4) Central Alabama
VAMC - Tuskegee",,"8,451","7,786",,,92.13%,665,7.87%,"7,121",,315,350,395,193,61,16,8,14,1,
(V07) (619GA) Columbus,,"1,937","1,723",,,88.95%,214,11.05%,"1,539",,73,111,129,65,12,8,16,16,5,
(V07) (619GB) Dothan 1,,"1,016",986,,,97.05%,30,2.95%,930,,19,37,14,2,1,13,3,,12,
(V07) (619GD) Wiregrass,,"1,454","1,439",,,98.97%,15,1.03%,"1,341",,47,51,13,1,0,1,1,5,1,
(V07) (619GE) Monroe County,,513,510,,,99.42%,3,0.58%,485,,17,8,3,0,0,0,1,,3,
"(V07) (619GF) Central Alabama
Montgomery VA Clinic",,"4,909","4,397",,,89.57%,512,10.43%,"3,687",,262,448,431,65,16,0,5,15,4.50,
(V07) (619QA) Dothan 2,,323,283,,,87.62%,40,12.38%,252,,20,11,40,0,0,0,,,7,
(V07) (619QB) Fort Benning,,"2,133","1,960",,,91.89%,173,8.11%,"1,707",,106,147,78,71,22,2,6.80,14,40,
"(V07) (679) Tuscaloosa, AL",,"9,517","9,294",,,97.66%,223,2.34%,"8,377",,390,527,192,23,4,4,7,3,4.30,
"(V07) (679) Tuscaloosa VA Medical
Center",,"9,371","9,150",,,97.64%,221,2.36%,"8,246",,383,521,190,23,4,4,7,3,4.30,
(V07) (679BU) Tuscaloosa DCHV,,10,10,,,100.00%,0,0.00%,10,,0,0,0,0,0,0,,,,
"(V07) (679HK) Tuscaloosa VA Mobile
Clinic",,132,130,,,98.48%,2,1.52%,117,,7,6,2,0,0,0,3,,,
(V07) (679MA) IDES Columbus,,4,4,,,100.00%,0,0.00%,4,,0,0,0,0,0,0,,0.00,0.00,
"(V08) (516) Bay Pines, FL",,"78,444","76,748",,,97.84%,"1,696",2.16%,"69,755",,"3,572","3,421","1,352",263,68,13,3,5,3,
(V08) (516) C.W. Bill Young VAMC,,"43,114","42,333",,,98.19%,781,1.81%,"38,600",,"1,916","1,817",664,91,21,5,3,5,2,
(V08) (516BZ) Lee County,,"17,698","17,006",,,96.09%,692,3.91%,"15,212",,851,943,523,130,32,7,3,6,3,
(V08) (516GA) Sarasota,,"3,542","3,507",,,99.01%,35,0.99%,"3,161",,172,174,26,8,1,0,3,2,3,
,,,,,,,,,,,,,,,,,,,,
