facility,Total Completed Appointments 1,Completed within 30 Days 2,Percent Appts Complete d in 30 Days or Less 3,Completed in Over 30 Days 4,Percent Appts Complete d in Over 30 Days 5,"Completed 0-7 Days
6","Completed 8-14
Days 7","Completed 15-30
Days 8","Completed 31-60
Days 9","Completed 61-90
Days 10","Completed 91-120
Days 11","Completed in more than 120
Days 12",PC Avg Wait Time in Days 13,SC Avg Wait Time in Days 14,MH Avg Wait Time in Days 15,,,
"(2V07) (521GA) Huntsville, AL","5,335","5,153",96.59%,182,3.41%,"4,542",349,262,95,77,7,3,2.64,6.96,2.48,,,
"(2V07) (521GC) Sheffield, AL (Florence)","1,427","1,427",100.00%,0,0.00%,"1,356",56,15,0,0,0,0,1.58,0.24,1.00,,,
"(2V07) (521GD) Rainbow City, AL","1,149","1,142",99.39%,7,0.61%,"1,057",48,37,7,0,0,0,2.39,0.53,1.74,,,
"(2V07) (521GE) Oxford, AL","1,457","1,437",98.63%,20,1.37%,"1,339",47,51,16,1,2,1,2.59,1.38,1.99,,,
"(2V07) (521GF) Jasper, AL",799,797,99.75%,2,0.25%,756,24,17,2,0,0,0,2.21,0.82,0.39,,,
"(2V07) (521GG) Bessemer, AL",778,742,95.37%,36,4.63%,617,52,73,30,4,1,1,9.01,4.36,2.42,,,
"(2V07) (521GH) Childersburg, AL","1,142","1,140",99.82%,2,0.18%,"1,115",15,10,2,0,0,0,0.69,1.56,0.41,,,
"(2V07) (521GI) Guntersville, AL","1,396","1,385",99.21%,11,0.79%,"1,299",46,40,6,2,1,2,1.31,6.58,2.73,,,
"(2V07) (521GJ) Birmingham-7th Avenue, AL","5,261","4,924",93.59%,337,6.41%,"4,328",272,324,259,55,16,7,2.84,8.36,4.22,,,
"(2V07) (521QA) Callahan, AL","1,573","1,479",94.02%,94,5.98%,"1,346",69,64,44,35,12,3,,6.99,,,,
"(2V07) (534) Charleston, SC HCS","47,000","45,746",97.33%,"1,254",2.67%,"41,455","2,156","2,135","1,003",204,22,25,2.06,6.38,2.47,,,
"(2V07) (534) Charleston, SC (Ralph H. Johnson)","22,102","21,281",96.29%,821,3.71%,"19,080","1,037","1,164",642,148,19,12,2.42,6.34,1.50,,,
"(2V07) (534BY) Savannah, GA","7,264","7,080",97.47%,184,2.53%,"6,336",389,355,158,21,2,3,2.78,5.86,4.60,,,
"(2V07) (534GB) Myrtle Beach, SC","2,320","2,297",99.01%,23,0.99%,"2,105",108,84,22,1,0,0,2.10,9.03,3.86,,,
"(2V07) (534GC) Beaufort, SC","1,965","1,961",99.80%,4,0.20%,"1,871",38,52,4,0,0,0,0.76,3.53,1.74,,,
"(2V07) (534GD) Goose Creek, SC","3,525","3,447",97.79%,78,2.21%,"3,057",225,165,63,9,1,5,1.46,8.91,2.67,,,
"(2V07) (534GE) Hinesville, GA","3,277","3,222",98.32%,55,1.68%,"3,042",90,90,49,4,0,2,1.84,4.40,2.54,,,
"(2V07) (534GF) Trident 1, SC","1,931","1,928",99.84%,3,0.16%,"1,877",33,18,3,0,0,0,0.87,6.14,,,,
"(2V07) (534QA) Market Commons, SC","3,709","3,626",97.76%,83,2.24%,"3,236",202,188,60,20,0,3,3.92,6.10,2.76,,,
"(2V07) (534QB) Trident 2, SC",663,661,99.70%,2,0.30%,608,34,19,2,0,0,0,,,1.99,,,
"(2V07) (534QC) Charleston-City Hall Lane, SC",244,243,99.59%,1,0.41%,243,0,0,0,1,0,0,,,,,,
"(2V07) (544) Columbia, SC HCS","50,112","47,008",93.81%,"3,104",6.19%,"41,062","2,624","3,322","1,920",624,295,265,3.26,11.98,4.34,,,
"(2V07) (544) Columbia, SC (Wm. Jennings Bryan Dorn)","33,392","30,795",92.22%,"2,597",7.78%,"26,684","1,682","2,429","1,548",556,251,242,3.34,12.80,5.17,,,
"(2V07) (544BZ) Greenville, SC","5,543","5,286",95.36%,257,4.64%,"4,457",430,399,196,40,14,7,3.80,7.74,5.76,,,
"(2V07) (544GB) Florence, SC","2,158","2,115",98.01%,43,1.99%,"1,926",109,80,33,5,1,4,3.24,11.61,2.07,,,
"(2V07) (544GC) Rock Hill, SC","2,327","2,291",98.45%,36,1.55%,"2,137",75,79,24,6,2,4,2.81,12.05,3.07,,,
"(2V07) (544GD) Anderson, SC","2,567","2,472",96.30%,95,3.70%,"2,165",157,150,54,10,26,5,3.43,9.14,4.25,,,
"(2V07) (544GE) Orangeburg, SC","1,167","1,153",98.80%,14,1.20%,"1,065",42,46,11,2,0,1,2.77,,2.42,,,
"(2V07) (544GF) Sumter, SC","1,364","1,331",97.58%,33,2.42%,"1,206",61,64,30,3,0,0,2.90,,4.33,,,
"(2V07) (544GG) Spartanburg, SC","1,515","1,494",98.61%,21,1.39%,"1,373",63,58,16,2,1,2,2.71,0.97,2.63,,,
"(2V07) (544HK) Columbia, SC -
Mobile",79,71,89.87%,8,10.13%,49,5,17,8,0,0,0,,9.53,,,,
"(2V07) (557) Dublin, GA HCS","24,856","23,268",93.61%,"1,588",6.39%,"20,897",989,"1,382",979,336,158,115,5.27,13.49,5.38,,,
"(2V07) (557) Dublin, GA (Carl Vinson)","16,443","15,332",93.24%,"1,111",6.76%,"13,683",640,"1,009",637,235,139,100,5.28,14.55,4.46,,,
"(2V07) (557GA) Macon, GA","2,833","2,648",93.47%,185,6.53%,"2,378",132,138,130,43,3,9,5.11,13.76,5.63,,,
"(2V07) (557GB) Albany, GA","1,623","1,568",96.61%,55,3.39%,"1,433",51,84,36,6,9,4,5.02,5.33,3.54,,,
"(2V07) (557GC) Milledgeville, GA",556,552,99.28%,4,0.72%,516,23,13,4,0,0,0,2.23,0.56,2.34,,,
"(2V07) (557GE) Brunswick, GA","1,236","1,174",94.98%,62,5.02%,"1,093",42,39,41,20,1,0,5.65,3.57,4.78,,,
"(2V07) (557GF) Tifton, GA","1,288","1,198",93.01%,90,6.99%,"1,076",76,46,62,21,5,2,5.69,0.00,8.69,,,
"(2V07) (557HA) Perry, GA",877,796,90.76%,81,9.24%,718,25,53,69,11,1,0,7.15,0.00,10.09,,,
(2V07) (619) Central Alabama HCS,"25,787","23,667",91.78%,"2,120",8.22%,"21,205","1,013","1,449","1,233",502,238,147,5.30,12.91,9.88,,,
"(2V07) (619) Montgomery, AL (Central Alabama)","5,950","5,328",89.55%,622,10.45%,"4,566",290,472,403,134,64,21,0.00,13.96,9.26,,,
"Completed Appointment Wait Times National, Facility, and Division Level Summaries.
Wait Time Measured from Preferred Date For the Reporting Period Ending:  December 2018",Total Completed Appointments 1,Completed within 30 Days 2,Percent Appts Complete d in 30 Days or Less 3,Completed in Over 30 Days 4,Percent Appts Complete d in Over 30 Days 5,"Completed 0-7 Days
6","Completed 8-14
Days 7","Completed 15-30
Days 8","Completed 31-60
Days 9","Completed 61-90
Days 10","Completed 91-120
Days 11","Completed in more than 120
Days 12",PC Avg Wait Time in Days 13,SC Avg Wait Time in Days 14,MH Avg Wait Time in Days 15,,,
"(2V07) (619A4) Tuskegee, AL
(Central Alabama)","7,299","6,689",91.64%,610,8.36%,"5,949",278,462,353,108,78,71,3.42,14.06,9.06,,,
"(2V07) (619GA) Columbus, GA","1,882","1,687",89.64%,195,10.36%,"1,521",55,111,116,38,22,19,4.63,6.41,16.83,,,
"(2V07) (619GD) Wiregrass, AL","2,058","1,948",94.66%,110,5.34%,"1,763",75,110,48,44,11,7,4.43,11.72,1.33,,,
"(2V07) (619GE) Monroe County, AL",592,575,97.13%,17,2.87%,536,23,16,16,1,0,0,4.56,,0.43,,,
"(2V07) (619GF) Central Alabama Montgomery, AL","4,622","4,336",93.81%,286,6.19%,"3,984",203,149,127,86,51,22,6.57,7.57,1.23,,,
"(2V07) (619PA) Tuskegee, AL
(Central Alabama) - PRRTP",7,7,100.00%,0,0.00%,7,0,0,0,0,0,0,,,,,,
"(2V07) (619QA) Dothan 2, AL","1,181","1,093",92.55%,88,7.45%,"1,009",34,50,58,24,4,2,1.08,,12.99,,,
"(2V07) (619QB) Fort Benning, GA","2,196","2,004",91.26%,192,8.74%,"1,870",55,79,112,67,8,5,6.33,16.16,6.91,,,
"(2V07) (679) Tuscaloosa, AL HCS","9,186","8,557",93.15%,629,6.85%,"7,709",351,497,383,188,35,23,8.95,7.44,6.27,,,
"(2V07) (679) Tuscaloosa, AL","8,927","8,304",93.02%,623,6.98%,"7,463",348,493,380,186,35,22,9.26,7.44,6.31,,,
"(2V07) (679GA) Selma, AL",240,236,98.33%,4,1.67%,231,2,3,2,2,0,0,2.68,,2.18,,,
"(2V07) (679HK) Tuscaloosa, AL - Mobile",17,15,88.24%,2,11.76%,13,1,1,1,0,0,1,29.12,,,,,
(2V07) (679MA) IDES Columbus,2,2,100.00%,0,0.00%,2,0,0,0,0,0,0,,0.00,0.00,,,
"(2V08) (516) Bay Pines, FL HCS","69,815","66,361",95.05%,"3,454",4.95%,"58,681","3,849","3,831","2,383",774,128,169,3.84,7.75,7.43,,,
"(2V08) (516) Bay Pines, FL (C.W. Bill
Young)","38,380","36,580",95.31%,"1,800",4.69%,"32,322","2,118","2,140","1,349",301,65,85,3.56,7.66,5.22,,,
"(2V08) (516BZ) Lee County, FL","15,790","14,765",93.51%,"1,025",6.49%,"12,946",870,949,611,318,51,45,4.33,8.33,9.50,,,
"(2V08) (516GA) Sarasota, FL","2,964","2,908",98.11%,56,1.89%,"2,586",204,118,51,4,1,0,3.49,0.84,4.56,,,
"(2V08) (516GB) St. Petersburg, FL",749,744,99.33%,5,0.67%,683,45,16,5,0,0,0,1.93,5.89,3.23,,,
"(2V08) (516GC) Palm Harbor, FL","1,943","1,900",97.79%,43,2.21%,"1,638",159,103,31,7,2,3,4.29,1.32,8.33,,,
"(2V08) (516GD) Bradenton, FL","3,480","3,217",92.44%,263,7.56%,"2,789",186,242,143,109,2,9,4.41,9.83,12.88,,,
"(2V08) (516GE) Port Charlotte, FL","3,009","2,829",94.02%,180,5.98%,"2,515",150,164,125,28,4,23,5.94,8.49,9.05,,,
"(2V08) (516GF) Naples, FL","1,951","1,882",96.46%,69,3.54%,"1,747",71,64,56,7,3,3,2.49,5.68,18.64,,,
"(2V08) (516GH) Sebring, FL","1,549","1,536",99.16%,13,0.84%,"1,455",46,35,12,0,0,1,2.37,3.55,4.71,,,
"(2V08) (546) Miami, FL HCS","41,044","38,728",94.36%,"2,316",5.64%,"35,632","1,402","1,694","1,352",585,202,177,3.17,8.01,1.75,,,
"(2V08) (546) Miami, FL (Bruce W.
Carter)","25,216","23,695",93.97%,"1,521",6.03%,"21,583",953,"1,159",847,399,143,132,3.52,8.06,1.44,,,
"(2V08) (546BZ) Sunrise, FL (William ""Bill"" Kling)","10,596","9,899",93.42%,697,6.58%,"9,205",289,405,439,159,56,43,3.53,9.64,1.76,,,
"(2V08) (546GA) Miami Flagler, FL",27,27,100.00%,0,0.00%,27,0,0,0,0,0,0,0.04,,,,,
"(2V08) (546GB) Key West, FL",853,840,98.48%,13,1.52%,800,29,11,10,2,0,1,1.34,1.93,1.57,,,
"(2V08) (546GC) Homestead, FL","1,704","1,636",96.01%,68,3.99%,"1,492",72,72,44,21,2,1,4.38,3.58,4.25,,,
"(2V08) (546GD) Pembroke Pines, FL",659,651,98.79%,8,1.21%,624,14,13,8,0,0,0,1.27,6.36,2.81,,,
"(2V08) (546GE) Key Largo, FL",328,322,98.17%,6,1.83%,300,10,12,2,3,1,0,2.20,7.67,1.27,,,
"(2V08) (546GF) Hollywood, FL","1,084","1,081",99.72%,3,0.28%,"1,041",23,17,2,1,0,0,1.52,0.44,1.62,,,
"(2V08) (546GH) Deerfield Beach, FL",577,577,100.00%,0,0.00%,560,12,5,0,0,0,0,0.78,0.50,0.85,,,
"(2V08) (548) West Palm Beach, FL HCS","47,968","46,639",97.23%,"1,329",2.77%,"42,280","2,030","2,329","1,053",186,39,51,1.97,5.06,3.86,,,
"(2V08) (548) West Palm Beach, FL","37,406","36,144",96.63%,"1,262",3.37%,"32,082","1,840","2,222",998,179,38,47,2.92,5.51,4.20,,,
"(2V08) (548GA) Fort Pierce, FL","1,906","1,899",99.63%,7,0.37%,"1,887",8,4,4,1,1,1,0.83,0.83,1.07,,,
"(2V08) (548GB) Delray Beach, FL","2,675","2,658",99.36%,17,0.64%,"2,574",46,38,13,2,0,2,1.17,1.17,4.16,,,
"(2V08) (548GC) Stuart, FL","2,352","2,349",99.87%,3,0.13%,"2,343",5,1,3,0,0,0,0.04,0.22,0.01,,,
"(2V08) (548GD) Boca Raton, FL","1,220","1,213",99.43%,7,0.57%,"1,173",35,5,4,2,0,1,1.07,0.71,6.44,,,
"(2V08) (548GE) Vero Beach, FL","1,168","1,166",99.83%,2,0.17%,"1,116",38,12,1,1,0,0,0.87,0.15,2.60,,,
"(2V08) (548GF) Okeechobee, FL",696,694,99.71%,2,0.29%,685,5,4,2,0,0,0,0.43,0.83,2.32,,,
"(2V08) (548QA) Port Saint Lucie, FL",545,516,94.68%,29,5.32%,420,53,43,28,1,0,0,,14.85,5.92,,,
"Completed Appointment Wait Times National, Facility, and Division Level Summaries.
Wait Time Measured from Preferred Date For the Reporting Period Ending:  December 2018",Total Completed Appointments 1,Completed within 30 Days 2,Percent Appts Complete d in 30 Days or Less 3,Completed in Over 30 Days 4,Percent Appts Complete d in Over 30 Days 5,"Completed 0-7 Days
6","Completed 8-14
Days 7","Completed 15-30
Days 8","Completed 31-60
Days 9","Completed 61-90
Days 10","Completed 91-120
Days 11","Completed in more than 120
Days 12",PC Avg Wait Time in Days 13,SC Avg Wait Time in Days 14,MH Avg Wait Time in Days 15,,,
"(2V08) (573) Gainesville, FL HCS","75,040","70,462",93.90%,"4,578",6.10%,"60,715","4,627","5,120","2,974",896,385,323,5.62,8.78,4.76,,,
"(2V08) (573) Gainesville, FL (Malcom Randall)","21,217","19,941",93.99%,"1,276",6.01%,"17,291","1,178","1,472",870,239,83,84,5.18,7.42,3.06,,,
"(2V08) (573A4) Lake City, FL","7,906","7,585",95.94%,321,4.06%,"6,645",448,492,195,45,27,54,10.18,9.52,1.26,,,
"(2V08) (573BY) Jacksonville 1, FL","9,019","7,971",88.38%,"1,048",11.62%,"6,642",632,697,597,245,92,114,6.39,13.69,3.66,,,
"(2V08) (573GA) Valdosta, GA","1,355","1,297",95.72%,58,4.28%,"1,191",55,51,42,13,2,1,5.46,5.28,1.44,,,
"(2V08) (573GD) Ocala, FL","2,275","2,208",97.05%,67,2.95%,"1,990",120,98,43,20,4,0,3.40,4.95,5.76,,,
"(2V08) (573GE) Saint Augustine, FL","1,843","1,775",96.31%,68,3.69%,"1,449",198,128,61,6,1,0,5.06,7.11,4.75,,,
"(2V08) (573GF) Tallahassee, FL (Sergeant Ernest I. ""Boots"" Thomas)","8,027","7,691",95.81%,336,4.19%,"6,731",505,455,206,84,35,11,5.49,5.25,5.70,,,
"(2V08) (573GG) Lecanto, FL","1,837","1,835",99.89%,2,0.11%,"1,725",78,32,2,0,0,0,2.02,0.48,0.48,,,
"(2V08) (573GI) The Villages, FL","7,522","7,019",93.31%,503,6.69%,"5,812",514,693,298,80,95,30,7.94,8.68,6.99,,,
"(2V08) (573GJ) St. Marys, GA",771,747,96.89%,24,3.11%,617,79,51,20,3,0,1,5.27,0.05,5.81,,,
"(2V08) (573GK) Marianna, FL",936,916,97.86%,20,2.14%,790,73,53,15,5,0,0,3.23,14.86,5.06,,,
"(2V08) (573GL) Palatka, FL",913,903,98.90%,10,1.10%,802,52,49,10,0,0,0,3.49,4.98,2.51,,,
"(2V08) (573GM) Waycross, GA",524,501,95.61%,23,4.39%,435,33,33,18,4,1,0,5.46,6.85,3.97,,,
"(2V08) (573GN) Perry, FL",223,221,99.10%,2,0.90%,204,11,6,2,0,0,0,1.99,5.20,2.93,,,
"(2V08) (573QA) Gainesville 1-16th Street, FL",760,760,100.00%,0,0.00%,757,1,2,0,0,0,0,,0.00,0.40,,,
"(2V08) (573QB) Gainesville 2-98th Street, FL",386,362,93.78%,24,6.22%,290,27,45,18,3,3,0,,7.01,,,,
"(2V08) (573QC) Gainesville 3-64th Street (C), FL","1,121","1,064",94.92%,57,5.08%,840,81,143,55,2,0,0,,6.10,6.28,,,
"(2V08) (573QD) Gainesville 4-64th Street (O), FL",807,770,95.42%,37,4.58%,598,73,99,24,12,0,1,,7.20,,,,
"(2V08) (573QE) Gainesville 5-64th Street (D), FL","1,004",842,83.86%,162,16.14%,704,55,83,91,51,15,5,,13.08,,,,
"(2V08) (573QF) Gainesville 6-23rd Avenue, FL",1,0,0.00%,1,100.00%,0,0,0,0,0,1,0,,,,,,
"(2V08) (573QG) Jacksonville Southpoint, FL","3,723","3,460",92.94%,263,7.06%,"2,946",264,250,197,45,12,9,3.37,8.32,10.15,,,
"(2V08) (573QH) Ocala West, FL",896,762,85.04%,134,14.96%,670,43,49,114,17,1,2,,9.91,,,,
"(2V08) (573QJ) Jacksonville 2 University Boulevard, FL","1,973","1,831",92.80%,142,7.20%,"1,585",107,139,96,22,13,11,6.96,10.94,6.22,,,
"(2V08) (573QK) Lake City, FL",1,1,100.00%,0,0.00%,1,0,0,0,0,0,0,0.00,,,,,
"(2V08) (672) San Juan, PR HCS","61,196","58,453",95.52%,"2,743",4.48%,"52,223","3,191","3,039","1,670",572,271,230,2.78,8.36,4.34,,,
"(2V08) (672) San Juan, PR","42,614","40,398",94.80%,"2,216",5.20%,"35,772","2,267","2,359","1,316",469,235,196,3.55,8.84,4.06,,,
"(2V08) (672B0) Ponce, PR (Euripides Rubio)","7,333","7,087",96.65%,246,3.35%,"6,378",395,314,167,55,10,14,1.56,7.50,3.66,,,
"(2V08) (672BZ) Mayaguez, PR","6,779","6,569",96.90%,210,3.10%,"6,074",289,206,139,33,21,17,1.90,4.83,7.02,,,
"(2V08) (672GA) Saint Croix, VI",192,190,98.96%,2,1.04%,182,4,4,1,1,0,0,0.17,18.78,3.67,,,
"(2V08) (672GB) Saint Thomas, VI",207,188,90.82%,19,9.18%,162,13,13,17,2,0,0,2.19,26.60,0.00,,,
"(2V08) (672GC) Arecibo, PR","1,698","1,676",98.70%,22,1.30%,"1,525",87,64,16,5,0,1,2.76,0.00,2.04,,,
"(2V08) (672GD) Ceiba, PR","1,384","1,376",99.42%,8,0.58%,"1,274",57,45,3,2,2,1,2.23,18.65,0.62,,,
"(2V08) (672GE) Guayama, PR",705,696,98.72%,9,1.28%,646,34,16,4,3,2,0,0.97,24.85,4.58,,,
"(2V08) (672QA) Comerio, PR",122,121,99.18%,1,0.82%,81,32,8,0,1,0,0,5.30,8.40,,,,
"(2V08) (672QB) Utuado, PR",96,94,97.92%,2,2.08%,84,7,3,2,0,0,0,2.72,0.00,,,,
"(2V08) (672QC) Vieques, PR",66,58,87.88%,8,12.12%,45,6,7,5,1,1,1,15.08,,12.00,,,
"(2V08) (673) Tampa, FL HCS","61,333","59,584",97.15%,"1,749",2.85%,"51,551","3,834","4,199","1,369",273,53,54,3.50,5.69,3.02,,,
"(2V08) (673) Tampa, FL (James A.
Haley)","26,521","25,632",96.65%,889,3.35%,"21,786","1,522","2,324",745,105,26,13,3.88,5.89,1.05,,,
"(2V08) (673BV) Tampa, FL - VADOM",8,8,100.00%,0,0.00%,8,0,0,0,0,0,0,,,,,,
"(2V08) (673BZ) New Port Richey, FL","5,596","5,487",98.05%,109,1.95%,"4,778",367,342,96,8,1,4,2.79,4.56,5.93,,,
"Completed Appointment Wait Times National, Facility, and Division Level Summaries.
Wait Time Measured from Preferred Date For the Reporting Period Ending:  December 2018",Total Completed Appointments 1,Completed within 30 Days 2,Percent Appts Complete d in 30 Days or Less 3,Completed in Over 30 Days 4,Percent Appts Complete d in Over 30 Days 5,"Completed 0-7 Days
6","Completed 8-14
Days 7","Completed 15-30
Days 8","Completed 31-60
Days 9","Completed 61-90
Days 10","Completed 91-120
Days 11","Completed in more than 120
Days 12",PC Avg Wait Time in Days 13,SC Avg Wait Time in Days 14,MH Avg Wait Time in Days 15,,,
"(2V08) (673GB) Lakeland, FL","1,574","1,556",98.86%,18,1.14%,"1,329",98,129,18,0,0,0,3.73,3.53,0.00,,,
"(2V08) (673GC) Brooksville, FL","2,253","2,217",98.40%,36,1.60%,"1,874",176,167,29,4,0,3,4.46,5.48,3.59,,,
"(2V08) (673GF) Zephyrhills, FL",600,597,99.50%,3,0.50%,554,23,20,3,0,0,0,1.98,2.80,,,,
"(2V08) (673QA) Forty Sixth Street North, FL","1,880","1,817",96.65%,63,3.35%,"1,523",180,114,63,0,0,0,,3.67,7.74,,,
"(2V08) (673QB) Forty Sixth Street South, FL","8,524","8,390",98.43%,134,1.57%,"7,476",624,290,79,51,0,4,,5.19,1.42,,,
"(2V08) (673QC) West Lakeland, FL","1,979","1,809",91.41%,170,8.59%,"1,447",147,215,148,17,3,2,,5.94,7.75,,,
"(2V08) (673QD) Deer Park, FL",441,400,90.70%,41,9.30%,337,38,25,22,12,5,2,,8.54,,,,
"(2V08) (673QE) Highway Nineteen, FL",320,297,92.81%,23,7.19%,259,27,11,5,18,0,0,,7.58,,,,
"(2V08) (673QF) Winners Circle, FL",631,630,99.84%,1,0.16%,630,0,0,0,0,1,0,,,,,,
"(2V08) (673QG) Little Road, FL",623,615,98.72%,8,1.28%,537,50,28,8,0,0,0,,,3.29,,,
"(2V08) (673QH) Bruce B. Downs Boulevard, FL","3,188","3,154",98.93%,34,1.07%,"2,779",165,210,25,6,3,0,,4.95,,,,
"(2V08) (673QI) Medical View Lane, FL",311,308,99.04%,3,0.96%,274,17,17,3,0,0,0,,2.60,2.77,,,
"(2V08) (673QJ) Hidden River, FL","6,884","6,667",96.85%,217,3.15%,"5,960",400,307,125,52,14,26,3.78,7.57,1.92,,,
"(2V08) (675) Orlando, FL HCS","80,017","76,835",96.02%,"3,182",3.98%,"67,577","4,233","5,025","2,380",478,172,152,2.46,7.24,4.23,,,
"(2V08) (675) Orlando-Lake Nona, FL","33,791","31,748",93.95%,"2,043",6.05%,"27,022","1,998","2,728","1,529",285,112,117,4.26,8.34,6.92,,,
"(2V08) (675BU) Orlando-Lake Nona, FL - VADOM",103,103,100.00%,0,0.00%,102,0,1,0,0,0,0,,,,,,
"(2V08) (675BV) Lake Baldwin, FL - VADOM",42,42,100.00%,0,0.00%,42,0,0,0,0,0,0,,,,,,
"(2V08) (675GA) Viera, FL","16,211","15,811",97.53%,400,2.47%,"14,075",849,887,314,52,22,12,1.52,5.72,3.70,,,
"(2V08) (675GB) Daytona Beach, FL (William V. Chappell, Jr.)","9,449","9,199",97.35%,250,2.65%,"8,256",460,483,183,43,17,7,3.29,5.11,2.57,,,
"(2V08) (675GC) Kissimmee, FL","1,430","1,393",97.41%,37,2.59%,"1,230",93,70,30,7,0,0,3.14,0.00,5.53,,,
"(2V08) (675GD) Deltona, FL","1,082","1,074",99.26%,8,0.74%,"1,011",37,26,8,0,0,0,1.25,3.59,2.37,,,
"(2V08) (675GE) Tavares, FL","1,714","1,696",98.95%,18,1.05%,"1,546",105,45,12,4,0,2,2.74,2.33,5.65,,,
"(2V08) (675GF) Clermont, FL","1,075","1,054",98.05%,21,1.95%,961,61,32,19,2,0,0,2.30,4.02,5.79,,,
"(2V08) (675GG) Lake Baldwin, FL","11,377","11,031",96.96%,346,3.04%,"9,966",476,589,234,79,20,13,1.39,6.83,4.54,,,
"(2V08) (675QB) Port Orange, FL",5,5,100.00%,0,0.00%,4,1,0,0,0,0,0,,,,,,
"(2V08) (675QC) Westside Pavilion, FL","2,164","2,143",99.03%,21,0.97%,"1,993",66,84,20,1,0,0,,,2.23,,,
"(2V08) (675QD) Crossroads, FL","1,574","1,536",97.59%,38,2.41%,"1,369",87,80,31,5,1,1,,3.40,3.41,,,
"(2V09) (596) Lexington, KY HCS","24,737","23,495",94.98%,"1,242",5.02%,"20,153","1,598","1,744",880,299,34,29,2.57,9.72,2.40,,,
"(2V09) (596) Lexington-Leestown, KY (Franklin R. Sousley Campus)","9,898","9,589",96.88%,309,3.12%,"8,439",656,494,244,55,4,6,2.51,8.00,2.27,,,
"(2V09) (596A4) Lexington-Cooper, KY (Troy Bowling Campus)","10,531","9,666",91.79%,865,8.21%,"7,955",732,979,583,235,27,20,,10.81,4.18,,,
"(2V09) (596BU) Lexington-Leestown, KY - VADOM",22,22,100.00%,0,0.00%,22,0,0,0,0,0,0,,,,,,
"(2V09) (596GA) Somerset, KY","2,079","2,027",97.50%,52,2.50%,"1,691",114,222,40,8,1,3,4.23,5.94,5.36,,,
"(2V09) (596GB) Morehead, KY",544,544,100.00%,0,0.00%,533,9,2,0,0,0,0,0.52,0.89,0.30,,,
"(2V09) (596GC) Hazard, KY",518,517,99.81%,1,0.19%,481,19,17,1,0,0,0,2.17,5.67,0.01,,,
"(2V09) (596GD) Berea, KY","1,145","1,130",98.69%,15,1.31%,"1,032",68,30,12,1,2,0,1.90,5.33,1.63,,,
"(2V09) (603) Louisville, KY HCS","29,445","28,982",98.43%,463,1.57%,"25,564","1,580","1,838",351,87,11,14,2.62,4.86,2.41,,,
"(2V09) (603) Louisville, KY (Robley Rex)","15,509","15,149",97.68%,360,2.32%,"12,889",964,"1,296",263,75,11,11,3.44,5.05,2.70,,,
"(2V09) (603BU) Louisville, KY - VADOM",4,4,100.00%,0,0.00%,4,0,0,0,0,0,0,,,0.00,,,
"(2V09) (603GA) Fort Knox, KY","1,536","1,511",98.37%,25,1.63%,"1,358",66,87,22,2,0,1,3.65,4.00,2.46,,,
"(2V09) (603GB) New Albany, IN","2,101","2,091",99.52%,10,0.48%,"1,880",104,107,9,1,0,0,2.99,0.94,2.65,,,
"(2V09) (603GC) Shively, KY","2,322","2,310",99.48%,12,0.52%,"2,121",121,68,8,4,0,0,2.57,0.42,2.29,,,
"Completed Appointment Wait Times National, Facility, and Division Level Summaries.
Wait Time Measured from Preferred Date For the Reporting Period Ending:  December 2018",Total Completed Appointments 1,Completed within 30 Days 2,Percent Appts Complete d in 30 Days or Less 3,Completed in Over 30 Days 4,Percent Appts Complete d in Over 30 Days 5,"Completed 0-7 Days
6","Completed 8-14
Days 7","Completed 15-30
Days 8","Completed 31-60
Days 9","Completed 61-90
Days 10","Completed 91-120
Days 11","Completed in more than 120
Days 12",PC Avg Wait Time in Days 13,SC Avg Wait Time in Days 14,MH Avg Wait Time in Days 15,,,
"(2V09) (603GD) Dupont, KY","1,510","1,498",99.21%,12,0.79%,"1,392",50,56,11,1,0,0,2.13,0.00,1.60,,,
"(2V09) (603GE) Newburg, KY","3,128","3,105",99.26%,23,0.74%,"2,792",170,143,20,1,0,2,3.13,3.20,3.53,,,
"(2V09) (603GF) Grayson County, KY","1,555","1,544",99.29%,11,0.71%,"1,447",57,40,10,1,0,0,1.65,2.08,2.65,,,
"(2V09) (603GG) Scott County, IN",983,978,99.49%,5,0.51%,925,30,23,4,1,0,0,1.07,3.44,2.25,,,
"(2V09) (603GH) Carrollton, KY",624,619,99.20%,5,0.80%,583,18,18,4,1,0,0,0.55,5.25,0.45,,,
(2V09) (603MA) IDES Fort Knox,38,38,100.00%,0,0.00%,38,0,0,0,0,0,0,,0.00,0.00,,,
(2V09) (603PB) Louisville  (SARRTP),135,135,100.00%,0,0.00%,135,0,0,0,0,0,0,,,,,,
"(2V09) (614) Memphis, TN HCS","36,892","35,830",97.12%,"1,062",2.88%,"32,682","1,530","1,618",779,166,66,51,2.20,6.12,3.18,,,
"(2V09) (614) Memphis, TN","23,621","22,696",96.08%,925,3.92%,"20,365","1,044","1,287",681,137,61,46,2.41,6.41,3.28,,,
"(2V09) (614GA) Tupelo, MS","1,175","1,154",98.21%,21,1.79%,"1,076",57,21,9,8,3,1,1.73,0.00,6.77,,,
"(2V09) (614GB) Jonesboro, AR",847,839,99.06%,8,0.94%,774,43,22,7,1,0,0,1.92,0.02,4.37,,,
