facility,Total Completed Appointments 1,Completed within 30 Days 2,Percent Appts Complete d in 30 Days or Less 3,Completed in Over 30 Days 4,Percent Appts Complete d in Over 30 Days 5,"Completed 0-7 Days
6","Completed 8-14
Days 7","Completed 15-30
Days 8","Completed 31-60
Days 9","Completed 61-90
Days 10","Completed 91-120
Days 11","Completed in more than 120
Days 12",PC Avg Wait Time in Days 13,SC Avg Wait Time in Days 14,MH Avg Wait Time in Days 15,,
"(2V07) (521GI) Guntersville, AL","1,126","1,096",97.34%,30,2.66%,"1,052",25,19,7,7,1,15,1.04,25.10,0.14,,
"(2V07) (521GJ) Birmingham 7th Avenue South, AL","14,669","14,489",98.77%,180,1.23%,"13,877",294,318,124,30,12,14,0.24,7.45,1.06,,
"(2V07) (521QA) Callahan, AL","1,790","1,682",93.97%,108,6.03%,"1,455",145,82,6,3,0,99,,15.30,,,
"(2V07) (534) Charleston, SC HCS","63,020","62,058",98.47%,962,1.53%,"58,883","1,817","1,358",630,224,69,39,0.79,5.99,0.57,,
"(2V07) (534) Charleston, SC (Ralph H. Johnson)","25,027","24,341",97.26%,686,2.74%,"22,804",791,746,452,168,49,17,0.19,6.13,0.26,,
"(2V07) (534BY) Savannah, GA","7,885","7,790",98.80%,95,1.20%,"7,238",265,287,66,21,6,2,1.17,6.17,1.38,,
"(2V07) (534QA) Market Commons, SC",34,32,94.12%,2,5.88%,26,5,1,2,0,0,0,1.34,3.28,4.81,,
"(2V07) (534GB) Myrtle Beach, SC","4,904","4,885",99.61%,19,0.39%,"4,581",243,61,17,2,0,0,1.34,3.28,4.81,,
"(2V07) (534GC) Beaufort, SC","1,933","1,927",99.69%,6,0.31%,"1,824",68,35,4,1,0,1,0.67,4.77,0.48,,
"(2V07) (534GD) Goose Creek, SC","3,810","3,735",98.03%,75,1.97%,"3,491",137,107,42,8,9,16,0.86,8.76,0.39,,
"(2V07) (534GE) Hinesville, GA","4,011","3,957",98.65%,54,1.35%,"3,846",73,38,31,19,3,1,3.60,2.92,0.35,,
"(2V07) (534GF) Trident 1, SC","10,891","10,891",100.00%,0,0.00%,"10,772",108,11,0,0,0,0,0.42,2.33,,,
"(2V07) (534QA) Market Commons, SC","3,390","3,366",99.29%,24,0.71%,"3,187",112,67,16,4,2,2,0.00,3.39,1.20,,
"(2V07) (534QB) Trident 2, SC",899,898,99.89%,1,0.11%,878,15,5,0,1,0,0,,0.00,0.54,,
"(2V07) (534QC) Charleston City Hall Lane, SC",236,236,100.00%,0,0.00%,236,0,0,0,0,0,0,,,0.41,,
"(2V07) (544) Columbia, SC HCS","54,758","51,766",94.54%,"2,992",5.46%,"46,120","2,725","2,921","1,624",628,342,398,3.66,9.09,5.69,,
"(2V07) (544BZ) Greenville, SC",9,9,100.00%,0,0.00%,9,0,0,0,0,0,0,5.68,9.16,5.72,,
"(2V07) (544) Columbia, SC (Wm. Jennings Bryan Dorn)","37,589","35,178",93.59%,"2,411",6.41%,"31,261","1,781","2,136","1,268",548,260,335,5.68,9.16,5.72,,
"(2V07) (544BZ) Greenville, SC","6,171","5,867",95.07%,304,4.93%,"5,097",376,394,167,39,53,45,2.22,9.33,8.81,,
"(2V07) (544GB) Florence, SC","2,226","2,157",96.90%,69,3.10%,"1,985",84,88,47,11,9,2,3.78,7.04,4.01,,
"(2V07) (544GC) Rock Hill, SC","1,842","1,773",96.25%,69,3.75%,"1,601",109,63,48,9,5,7,4.14,25.21,4.99,,
"(2V07) (544GD) Anderson, SC","2,888","2,831",98.03%,57,1.97%,"2,558",166,107,46,7,1,3,1.71,6.22,2.54,,
"(2V07) (544GE) Orangeburg, SC","1,048","1,040",99.24%,8,0.76%,952,53,35,6,1,1,0,2.55,,2.19,,
"(2V07) (544GF) Sumter, SC","1,393","1,374",98.64%,19,1.36%,"1,266",64,44,12,4,1,2,2.76,,3.73,,
"(2V07) (544GG) Spartanburg, SC","1,479","1,439",97.30%,40,2.70%,"1,327",82,30,22,3,11,4,1.36,2.15,11.96,,
"(2V07) (544HK) Columbia, SC -
Mobile",113,98,86.73%,15,13.27%,64,10,24,8,6,1,0,,0.00,,,
"(2V07) (557) Dublin, GA HCS","24,547","23,419",95.40%,"1,128",4.60%,"21,585",910,924,565,212,108,243,6.20,19.96,3.30,,
"(2V07) (557) Dublin, GA (Carl Vinson)","14,212","13,483",94.87%,729,5.13%,"12,545",428,510,326,150,74,179,5.12,22.51,2.64,,
"(2V07) (557GA) Macon, GA","3,972","3,807",95.85%,165,4.15%,"3,457",208,142,94,33,18,20,6.93,17.45,3.01,,
"(2V07) (557GB) Albany, GA","1,554","1,445",92.99%,109,7.01%,"1,175",132,138,79,11,6,13,9.05,12.40,5.00,,
"(2V07) (557GC) Milledgeville, GA",621,619,99.68%,2,0.32%,600,12,7,2,0,0,0,1.05,16.00,1.61,,
"(2V07) (557GE) Brunswick, GA","1,090","1,045",95.87%,45,4.13%,945,47,53,20,6,3,16,5.39,22.36,3.52,,
"(2V07) (557GF) Tifton, GA","1,051","1,005",95.62%,46,4.38%,944,32,29,33,4,2,7,12.47,0.81,2.37,,
"(2V07) (557HA) Perry, GA","2,047","2,015",98.44%,32,1.56%,"1,919",51,45,11,8,5,8,5.19,1.90,7.72,,
(2V07) (619) Central Alabama HCS,"26,725","25,618",95.86%,"1,107",4.14%,"23,917",849,852,481,206,100,320,1.52,21.61,5.94,,
"(2V07) (619) Montgomery, AL (Central Alabama)","4,801","4,530",94.36%,271,5.64%,"3,994",253,283,135,54,25,57,,10.82,1.79,,
"Completed Appointment Wait Times National, Facility, and Division Level Summaries.
Wait Time Measured from Preferred Date For the Reporting Period Ending:  February 2021",Total Completed Appointments 1,Completed within 30 Days 2,Percent Appts Complete d in 30 Days or Less 3,Completed in Over 30 Days 4,Percent Appts Complete d in Over 30 Days 5,"Completed 0-7 Days
6","Completed 8-14
Days 7","Completed 15-30
Days 8","Completed 31-60
Days 9","Completed 61-90
Days 10","Completed 91-120
Days 11","Completed in more than 120
Days 12",PC Avg Wait Time in Days 13,SC Avg Wait Time in Days 14,MH Avg Wait Time in Days 15,,
"(2V07) (619A4) Tuskegee, AL
(Central Alabama)","7,218","6,880",95.32%,338,4.68%,"6,434",212,234,142,44,28,124,1.16,33.67,1.80,,
"(2V07) (619GA) Columbus, GA","2,066","1,956",94.68%,110,5.32%,"1,845",55,56,49,21,6,34,3.45,10.88,14.86,,
"(2V07) (619GD) Wiregrass, AL","1,642","1,553",94.58%,89,5.42%,"1,447",62,44,24,9,9,47,7.49,16.73,10.39,,
"(2V07) (619GE) Monroe County, AL",278,277,99.64%,1,0.36%,266,7,4,1,0,0,0,1.30,0.00,0.85,,
"(2V07) (619GF) Central Alabama Montgomery, AL","7,334","7,169",97.75%,165,2.25%,"6,892",153,124,74,35,19,37,1.14,26.65,0.33,,
"(2V07) (619PA) Tuskegee, AL
(Central Alabama) - PRRTP",89,89,100.00%,0,0.00%,88,0,1,0,0,0,0,,,,,
"(2V07) (619QA) Dothan 2, AL","1,280","1,239",96.80%,41,3.20%,"1,155",28,56,21,14,5,1,1.85,3.50,4.99,,
"(2V07) (619QB) Fort Benning, GA","2,017","1,925",95.44%,92,4.56%,"1,796",79,50,35,29,8,20,2.32,40.88,11.89,,
"(2V07) (679) Tuscaloosa, AL HCS","10,425","9,851",94.49%,574,5.51%,"8,773",494,584,287,90,49,148,3.32,14.94,9.35,,
"(2V07) (679) Tuscaloosa, AL","10,242","9,676",94.47%,566,5.53%,"8,615",486,575,279,90,49,148,3.31,14.94,9.38,,
"(2V07) (679GA) Selma, AL",183,175,95.63%,8,4.37%,158,8,9,8,0,0,0,3.45,,0.00,,
"(2V08) (516) Bay Pines, FL HCS","93,142","88,697",95.23%,"4,445",4.77%,"79,603","4,034","5,060","2,631",911,467,436,4.96,6.25,5.85,,
"(2V08) (516) Bay Pines, FL (C.W. Bill
Young)","51,258","48,968",95.53%,"2,290",4.47%,"44,325","2,061","2,582","1,388",371,238,293,4.44,6.15,5.08,,
"(2V08) (516BZ) Lee County, FL","22,182","21,100",95.12%,"1,082",4.88%,"18,647","1,012","1,441",648,285,90,59,2.67,6.05,7.05,,
"(2V08) (516GA) Sarasota, FL","4,944","4,721",95.49%,223,4.51%,"4,198",222,301,144,61,11,7,7.14,3.87,3.29,,
"(2V08) (516GB) St. Petersburg, FL",764,744,97.38%,20,2.62%,718,16,10,6,4,2,8,4.01,0.50,3.41,,
"(2V08) (516GC) Palm Harbor, FL","2,602","2,535",97.43%,67,2.57%,"2,249",126,160,50,14,0,3,3.61,3.74,12.37,,
"(2V08) (516GD) Bradenton, FL","3,838","3,352",87.34%,486,12.66%,"2,827",240,285,221,124,109,32,14.15,13.38,9.61,,
"(2V08) (516GE) Port Charlotte, FL","3,143","2,972",94.56%,171,5.44%,"2,629",180,163,104,27,13,27,5.63,9.21,8.12,,
"(2V08) (516GF) Naples, FL","2,589","2,519",97.30%,70,2.70%,"2,353",106,60,43,16,4,7,2.78,4.15,4.84,,
"(2V08) (516GH) Sebring, FL","1,822","1,786",98.02%,36,1.98%,"1,657",71,58,27,9,0,0,2.65,2.41,6.48,,
"(2V08) (546) Miami, FL HCS","55,525","52,004",93.66%,"3,521",6.34%,"46,281","2,475","3,248","2,200",757,285,279,5.09,6.78,4.67,,
"(2V08) (546) Miami, FL (Bruce W.
Carter)","32,494","30,377",93.48%,"2,117",6.52%,"26,811","1,499","2,067","1,116",544,236,221,4.75,7.97,2.63,,
"(2V08) (546BZ) Sunrise, FL (William ""Bill"" Kling)","17,198","15,989",92.97%,"1,209",7.03%,"14,394",699,896,923,189,48,49,5.56,5.38,7.05,,
"(2V08) (546GA) Miami Flagler, FL",27,27,100.00%,0,0.00%,24,2,1,0,0,0,0,2.85,,,,
"(2V08) (546GB) Key West, FL",929,917,98.71%,12,1.29%,874,17,26,11,0,0,1,1.25,2.64,2.06,,
"(2V08) (546GC) Homestead, FL","2,488","2,389",96.02%,99,3.98%,"2,107",128,154,87,7,1,4,6.78,3.54,7.41,,
"(2V08) (546GD) Pembroke Pines, FL",638,601,94.20%,37,5.80%,517,43,41,29,4,0,4,5.34,9.58,5.51,,
"(2V08) (546GE) Key Largo, FL",143,125,87.41%,18,12.59%,106,10,9,10,8,0,0,15.28,2.25,3.63,,
"(2V08) (546GF) Hollywood, FL",851,833,97.88%,18,2.12%,760,42,31,15,3,0,0,3.51,1.34,3.84,,
"(2V08) (546GH) Deerfield Beach, FL",757,746,98.55%,11,1.45%,688,35,23,9,2,0,0,1.94,2.47,4.60,,
"(2V08) (548) West Palm Beach, FL HCS","57,424","55,787",97.15%,"1,637",2.85%,"50,600","2,097","3,090","1,105",291,94,147,3.37,4.31,6.94,,
"(2V08) (548) West Palm Beach, FL","48,787","47,282",96.92%,"1,505",3.08%,"42,815","1,695","2,772","1,033",272,86,114,2.35,4.23,7.14,,
"(2V08) (548BU) West Palm Beach, FL - VADOM",57,57,100.00%,0,0.00%,54,2,1,0,0,0,0,,,,,
"(2V08) (548GA) Fort Pierce, FL","1,692","1,688",99.76%,4,0.24%,"1,600",72,16,4,0,0,0,1.10,1.88,1.34,,
"(2V08) (548GB) Delray Beach, FL","2,111","2,081",98.58%,30,1.42%,"1,919",88,74,15,4,2,9,2.78,5.30,5.72,,
"(2V08) (548GC) Stuart, FL","1,752","1,747",99.71%,5,0.29%,"1,674",40,33,4,0,0,1,0.40,1.61,1.65,,
"(2V08) (548GD) Boca Raton, FL",791,789,99.75%,2,0.25%,743,23,23,1,1,0,0,0.53,2.24,8.60,,
"(2V08) (548GE) Vero Beach, FL",745,698,93.69%,47,6.31%,637,35,26,8,10,6,23,22.03,86.36,26.08,,
"(2V08) (548GF) Okeechobee, FL",468,467,99.79%,1,0.21%,447,15,5,1,0,0,0,0.71,1.63,0.18,,
"(2V08) (548QA) Port Saint Lucie, FL","1,021",978,95.79%,43,4.21%,711,127,140,39,4,0,0,,8.82,0.40,,
"(2V08) (573) Gainesville, FL HCS","96,215","91,418",95.01%,"4,797",4.99%,"82,422","4,350","4,646","2,581","1,035",427,754,2.53,10.84,5.08,,
"Completed Appointment Wait Times National, Facility, and Division Level Summaries.
Wait Time Measured from Preferred Date For the Reporting Period Ending:  February 2021",Total Completed Appointments 1,Completed within 30 Days 2,Percent Appts Complete d in 30 Days or Less 3,Completed in Over 30 Days 4,Percent Appts Complete d in Over 30 Days 5,"Completed 0-7 Days
6","Completed 8-14
Days 7","Completed 15-30
Days 8","Completed 31-60
Days 9","Completed 61-90
Days 10","Completed 91-120
Days 11","Completed in more than 120
Days 12",PC Avg Wait Time in Days 13,SC Avg Wait Time in Days 14,MH Avg Wait Time in Days 15,,
"(2V08) (573) Gainesville, FL (Malcom Randall)","29,351","27,829",94.81%,"1,522",5.19%,"25,349","1,159","1,321",793,330,146,253,1.19,9.67,1.83,,
"(2V08) (573A4) Lake City, FL","9,001","8,730",96.99%,271,3.01%,"8,292",211,227,106,67,21,77,0.33,14.92,1.11,,
"(2V08) (573BY) Jacksonville 1, FL","12,404","11,375",91.70%,"1,029",8.30%,"10,082",589,704,565,256,70,138,2.95,14.37,7.04,,
"(2V08) (573GA) Valdosta, GA","1,921","1,897",98.75%,24,1.25%,"1,792",73,32,19,4,0,1,1.76,3.04,3.17,,
"(2V08) (573GD) Ocala, FL","3,724","3,677",98.74%,47,1.26%,"3,433",151,93,28,9,1,9,2.08,4.93,3.64,,
"(2V08) (573GE) Saint Augustine, FL","2,933","2,861",97.55%,72,2.45%,"2,452",232,177,51,8,5,8,3.15,9.68,4.43,,
"(2V08) (573GF) Tallahassee, FL (Sergeant Ernest I. ""Boots"" Thomas)","9,194","8,771",95.40%,423,4.60%,"7,978",405,388,216,104,32,71,4.71,6.66,3.19,,
"(2V08) (573GI) The Villages, FL","11,090","10,578",95.38%,512,4.62%,"9,279",628,671,249,67,85,111,2.16,15.74,3.77,,
"(2V08) (573GJ) St. Marys, GA","1,210","1,171",96.78%,39,3.22%,"1,034",58,79,25,7,4,3,2.88,2.47,15.75,,
"(2V08) (573GK) Marianna, FL",944,919,97.35%,25,2.65%,806,53,60,22,2,0,1,3.83,3.08,3.29,,
"(2V08) (573GL) Palatka, FL","1,067","1,059",99.25%,8,0.75%,"1,021",27,11,4,2,1,1,1.21,3.29,1.85,,
"(2V08) (573GM) Waycross, GA",638,637,99.84%,1,0.16%,598,22,17,0,0,0,1,2.10,0.00,1.75,,
"(2V08) (573GN) Perry, FL",253,253,100.00%,0,0.00%,248,4,1,0,0,0,0,0.73,3.50,1.92,,
"(2V08) (573GO) Middleburg, FL","1,002",952,95.01%,50,4.99%,788,81,83,43,6,0,1,4.63,,8.67,,
"(2V08) (573QA) Gainesville 1-16th Street, FL",385,385,100.00%,0,0.00%,377,6,2,0,0,0,0,,,0.85,,
"(2V08) (573QB) Gainesville 2-98th Street, FL",489,470,96.11%,19,3.89%,424,30,16,10,4,3,2,,4.90,,,
"(2V08) (573QC) Gainesville 3-64th Street (C), FL",311,284,91.32%,27,8.68%,135,83,66,19,8,0,0,,12.07,,,
"(2V08) (573QD) Gainesville 4-64th Street (O), FL","1,024",979,95.61%,45,4.39%,811,66,102,37,5,1,2,,5.42,,,
"(2V08) (573QE) Gainesville 5-64th Street (D), FL",925,855,92.43%,70,7.57%,721,53,81,46,12,3,9,,8.62,,,
"(2V08) (573QF) Gainesville 6-23rd Avenue, FL",22,20,90.91%,2,9.09%,9,5,6,2,0,0,0,,19.00,,,
"(2V08) (573A4) Lake City, FL",30,24,80.00%,6,20.00%,7,5,12,6,0,0,0,,19.00,,,
"(2V08) (573QG) Jacksonville Southpoint, FL","3,752","3,445",91.82%,307,8.18%,"2,946",228,271,168,62,35,42,4.89,15.36,10.28,,
"(2V08) (573GD) Ocala, FL",3,2,66.67%,1,33.33%,2,0,0,1,0,0,0,,1.49,18.00,,
"(2V08) (573QH) Ocala West, FL","1,114","1,108",99.46%,6,0.54%,"1,038",24,46,6,0,0,0,,1.49,18.00,,
"(2V08) (573QJ) Jacksonville 2, FL","2,349","2,071",88.17%,278,11.83%,"1,827",104,140,155,80,20,23,10.30,12.71,10.49,,
"(2V08) (573QK) Lake City Commerce Drive, FL","1,079","1,066",98.80%,13,1.20%,973,53,40,10,2,0,1,3.33,3.13,0.94,,
"(2V08) (672) San Juan, PR HCS","78,161","75,850",97.04%,"2,311",2.96%,"72,188","1,795","1,867","1,169",452,217,473,0.46,7.13,1.68,,
"(2V08) (672) San Juan, PR","50,275","48,079",95.63%,"2,196",4.37%,"44,984","1,478","1,617","1,104",439,210,443,0.68,8.55,2.19,,
"(2V08) (672B0) Ponce, PR (Eur�pides
Rubio)","10,933","10,924",99.92%,9,0.08%,"10,819",75,30,5,1,2,1,0.15,1.19,0.09,,
"(2V08) (672BZ) Mayaguez, PR","8,932","8,872",99.33%,60,0.67%,"8,641",114,117,43,9,5,3,0.08,1.58,1.02,,
"(2V08) (672GA) Saint Croix, VI",386,386,100.00%,0,0.00%,386,0,0,0,0,0,0,0.00,,,,
"(2V08) (672GB) Saint Thomas, VI",352,316,89.77%,36,10.23%,288,11,17,7,3,0,26,3.70,,,,
"(2V08) (672GC) Arecibo, PR","2,768","2,766",99.93%,2,0.07%,"2,696",46,24,2,0,0,0,0.14,0.00,0.39,,
"(2V08) (672GD) Ceiba, PR","2,648","2,644",99.85%,4,0.15%,"2,596",21,27,4,0,0,0,0.15,0.17,0.06,,
"(2V08) (672GE) Guayama, PR","1,587","1,583",99.75%,4,0.25%,"1,502",46,35,4,0,0,0,0.73,,2.80,,
"(2V08) (672QA) Comerio, PR",148,148,100.00%,0,0.00%,145,3,0,0,0,0,0,1.18,,,,
"(2V08) (672QB) Utuado, PR",66,66,100.00%,0,0.00%,66,0,0,0,0,0,0,1.00,,,,
"(2V08) (672QC) Vieques, PR",66,66,100.00%,0,0.00%,65,1,0,0,0,0,0,0.42,,,,
"(2V08) (673) Tampa, FL HCS","92,400","88,764",96.06%,"3,636",3.94%,"80,639","4,033","4,092","1,848",819,425,544,3.85,5.89,2.44,,
"(2V08) (673) Tampa, FL (James A.
Haley)","40,849","38,616",94.53%,"2,233",5.47%,"34,977","1,655","1,984","1,134",610,311,178,4.24,5.18,5.79,,
"(2V08) (673BV) Tampa, FL - VADOM",7,7,100.00%,0,0.00%,7,0,0,0,0,0,0,,,,,
"Completed Appointment Wait Times National, Facility, and Division Level Summaries.
Wait Time Measured from Preferred Date For the Reporting Period Ending:  February 2021",Total Completed Appointments 1,Completed within 30 Days 2,Percent Appts Complete d in 30 Days or Less 3,Completed in Over 30 Days 4,Percent Appts Complete d in Over 30 Days 5,"Completed 0-7 Days
6","Completed 8-14
Days 7","Completed 15-30
Days 8","Completed 31-60
Days 9","Completed 61-90
Days 10","Completed 91-120
Days 11","Completed in more than 120
Days 12",PC Avg Wait Time in Days 13,SC Avg Wait Time in Days 14,MH Avg Wait Time in Days 15,,
"(2V08) (673BZ) New Port Richey, FL","9,819","9,693",98.72%,126,1.28%,"8,950",469,274,109,7,4,6,4.29,1.44,3.08,,
"(2V08) (673GB) Lakeland, FL","1,996","1,953",97.85%,43,2.15%,"1,743",113,97,31,5,3,4,4.80,1.92,,,
"(2V08) (673GC) Brooksville, FL","2,271","2,239",98.59%,32,1.41%,"1,988",113,138,19,7,1,5,4.66,4.34,1.69,,
"(2V08) (673GF) Zephyrhills, FL",654,638,97.55%,16,2.45%,595,25,18,11,1,1,3,4.10,1.88,1.67,,
"(2V08) (673GG) South Hillsborough, FL","7,555","7,370",97.55%,185,2.45%,"6,702",345,323,115,26,16,28,2.72,3.09,3.72,,
"(2V08) (673GH) Lecanto, FL","2,717","2,706",99.60%,11,0.40%,"2,605",64,37,7,0,2,2,1.75,0.76,1.52,,
"(2V08) (673QA) Forty Sixth Street North, FL","1,380","1,345",97.46%,35,2.54%,950,182,213,31,3,0,1,,6.20,6.81,,
"(2V08) (673QB) Forty Sixth Street South, FL","8,816","8,472",96.10%,344,3.90%,"7,610",444,418,138,65,56,85,1.00,12.69,2.23,,
"(2V08) (673QC) West Lakeland, FL",958,954,99.58%,4,0.42%,800,119,35,0,0,1,3,,3.73,0.18,,
"(2V08) (673QD) Deer Park, FL",363,358,98.62%,5,1.38%,339,4,15,2,1,1,1,,2.48,,,
"(2V08) (673QE) Highway Nineteen, FL",513,441,85.96%,72,14.04%,370,35,36,22,26,9,15,,18.57,,,
"(2V08) (673QF) Winners Circle, FL",3,3,100.00%,0,0.00%,3,0,0,0,0,0,0,,,,,
"(2V08) (673QG) Little Road, FL",60,60,100.00%,0,0.00%,60,0,0,0,0,0,0,,,0.35,,
"(2V08) (673QH) Bruce B. Downs Boulevard, FL","2,037","1,960",96.22%,77,3.78%,"1,702",90,168,41,7,2,27,,12.01,,,
"(2V08) (673QI) Medical View Lane, FL",203,201,99.01%,2,0.99%,181,12,8,1,1,0,0,,2.00,1.86,,
"(2V08) (673QJ) Hidden River, FL","12,199","11,748",96.30%,451,3.70%,"11,057",363,328,187,60,18,186,3.79,9.78,0.83,,
"(2V08) (675) Orlando, FL HCS","108,689","104,922",96.53%,"3,767",3.47%,"96,428","4,067","4,427","2,603",740,225,199,1.94,4.50,3.71,,
"(2V08) (675) Orlando, FL","50,693","48,275",95.23%,"2,418",4.77%,"43,907","1,991","2,377","1,687",521,121,89,2.55,5.21,6.17,,
"(2V08) (675GA) Viera, FL","20,990","20,295",96.69%,695,3.31%,"18,678",783,834,461,117,56,61,1.12,4.64,2.46,,
"(2V08) (675GB) Daytona Beach, FL (William V. Chappell, Jr.)","13,269","12,982",97.84%,287,2.16%,"12,162",447,373,185,44,24,34,3.21,3.03,0.42,,
"(2V08) (675GC) Kissimmee, FL","1,703","1,679",98.59%,24,1.41%,"1,579",57,43,12,7,3,2,1.14,0.00,5.15,,
"(2V08) (675GD) Deltona, FL","1,351","1,341",99.26%,10,0.74%,"1,225",59,57,7,1,0,2,2.24,6.37,2.70,,
"(2V08) (675GE) Tavares, FL","1,910","1,891",99.01%,19,0.99%,"1,719",100,72,14,2,2,1,2.54,2.82,3.14,,
"(2V08) (675GF) Clermont, FL","1,143","1,136",99.39%,7,0.61%,"1,071",40,25,5,1,0,1,2.12,0.67,0.95,,
"(2V08) (675GG) Lake Baldwin, FL","15,276","15,019",98.32%,257,1.68%,"13,840",554,625,195,40,14,8,1.42,2.86,3.75,,
"(2V08) (675QB) Port Orange, FL",7,7,100.00%,0,0.00%,1,3,3,0,0,0,0,,,,,
"(2V08) (675QC) Westside Pavilion, FL","1,910","1,862",97.49%,48,2.51%,"1,822",23,17,35,7,5,1,,,1.20,,
"(2V08) (675QG) Palm Bay, FL",437,435,99.54%,2,0.46%,424,10,1,2,0,0,0,1.05,,,,
"(2V09) (596) Lexington, KY HCS","30,018","29,233",97.38%,785,2.62%,"26,598","1,178","1,457",526,202,37,20,3.61,3.47,0.26,,
"(2V09) (596) Lexington-Leestown, KY (Franklin R. Sousley Campus)","8,581","8,326",97.03%,255,2.97%,"7,506",371,449,156,83,9,7,4.89,6.51,0.22,,
"(2V09) (596A4) Lexington-Cooper, KY (Troy Bowling Campus)","17,887","17,374",97.13%,513,2.87%,"15,790",708,876,356,117,27,13,,3.14,1.45,,
"(2V09) (596GA) Somerset, KY","1,641","1,629",99.27%,12,0.73%,"1,495",45,89,10,1,1,0,2.95,3.08,0.90,,
"(2V09) (596GB) Morehead, KY",451,450,99.78%,1,0.22%,419,22,9,1,0,0,0,1.67,1.47,0.00,,
"(2V09) (596GC) Hazard, KY",529,529,100.00%,0,0.00%,507,14,8,0,0,0,0,0.73,3.46,0.00,,
"(2V09) (596GD) Berea, KY",929,925,99.57%,4,0.43%,881,18,26,3,1,0,0,1.56,3.56,0.37,,
"(2V09) (603) Louisville, KY HCS","33,593","32,872",97.85%,721,2.15%,"30,250","1,351","1,271",415,154,48,104,1.70,6.45,1.88,,
"(2V09) (603) Louisville, KY (Robley Rex)","20,872","20,338",97.44%,534,2.56%,"18,698",776,864,286,122,42,84,0.32,6.53,0.62,,
"(2V09) (603GA) Fort Knox, KY","1,600","1,566",97.88%,34,2.13%,"1,435",74,57,26,2,0,6,3.89,2.65,2.59,,
"(2V09) (603GB) New Albany, IN","1,812","1,783",98.40%,29,1.60%,"1,622",74,87,18,8,1,2,2.89,4.40,3.41,,
"(2V09) (603GC) Shively, KY","2,125","2,103",98.96%,22,1.04%,"1,973",76,54,15,3,1,3,3.46,5.14,1.56,,
"(2V09) (603GD) Stonybrook, KY","2,233","2,176",97.45%,57,2.55%,"2,013",84,79,40,11,2,4,4.85,1.75,1.56,,
"Completed Appointment Wait Times National, Facility, and Division Level Summaries.
Wait Time Measured from Preferred Date For the Reporting Period Ending:  February 2021",Total Completed Appointments 1,Completed within 30 Days 2,Percent Appts Complete d in 30 Days or Less 3,Completed in Over 30 Days 4,Percent Appts Complete d in Over 30 Days 5,"Completed 0-7 Days
6","Completed 8-14
Days 7","Completed 15-30
Days 8","Completed 31-60
Days 9","Completed 61-90
Days 10","Completed 91-120
Days 11","Completed in more than 120
Days 12",PC Avg Wait Time in Days 13,SC Avg Wait Time in Days 14,MH Avg Wait Time in Days 15,,
"(2V09) (603GE) Newburg, KY","2,175","2,147",98.71%,28,1.29%,"1,958",121,68,19,5,1,3,3.51,7.51,2.31,,
"(2V09) (603GF) Grayson County, KY","1,547","1,542",99.68%,5,0.32%,"1,431",78,33,1,2,1,1,2.21,7.50,1.03,,
"(2V09) (603GG) Scott County, IN",877,866,98.75%,11,1.25%,802,42,22,10,0,0,1,2.65,0.52,2.49,,
"(2V09) (603GH) Carrollton, KY",338,337,99.70%,1,0.30%,304,26,7,0,1,0,0,1.38,5.52,0.50,,
(2V09) (603PB) Louisville  (SARRTP),14,14,100.00%,0,0.00%,14,0,0,0,0,0,0,,,0.00,,
"(2V09) (614) Memphis, TN HCS","35,618","34,533",96.95%,"1,085",3.05%,"32,554",928,"1,051",531,241,74,239,2.75,6.21,2.39,,
"(2V09) (614) Memphis, TN","26,439","25,674",97.11%,765,2.89%,"24,309",628,737,372,129,43,221,1.29,5.71,0.51,,
"(2V09) (614GF) Nonconnah Boulevard, TN",10,8,80.00%,2,20.00%,3,4,1,2,0,0,0,1.29,5.71,0.51,,
"(2V09) (614GA) Tupelo, MS","1,219","1,139",93.44%,80,6.56%,"1,054",57,28,36,20,12,12,3.25,1.92,23.53,,
"(2V09) (614GB) Jonesboro, AR",439,436,99.32%,3,0.68%,423,8,5,2,1,0,0,2.01,2.07,1.68,,
"(2V09) (614GC) Holly Springs, MS",412,396,96.12%,16,3.88%,347,26,23,6,4,5,1,5.83,1.40,11.61,,
"(2V09) (614GD) Savannah, TN",436,434,99.54%,2,0.46%,421,6,7,0,1,0,1,3.53,0.00,2.49,,
"(2V09) (614GE) Covington, TN","1,288","1,288",100.00%,0,0.00%,"1,247",33,8,0,0,0,0,0.17,,0.00,,
"(2V09) (614GF) Nonconnah Boulevard, TN","3,263","3,073",94.18%,190,5.82%,"2,804",102,167,92,80,14,4,4.58,17.44,1.05,,
"(2V09) (614GG) Jackson, TN","1,517","1,494",98.48%,23,1.52%,"1,378",48,68,17,6,0,0,2.85,5.00,0.23,,
"(2V09) (614GI) Dyersburg, TN",408,406,99.51%,2,0.49%,391,9,6,2,0,0,0,2.10,0.00,1.09,,
"(2V09) (614GN) Helena, AR",187,185,98.93%,2,1.07%,177,7,1,2,0,0,0,2.21,,2.16,,
"(2V09) (621) Mountain Home, TN HCS","40,586","39,551",97.45%,"1,035",2.55%,"36,491","1,630","1,430",654,188,72,121,2.14,6.86,1.41,,
"(2V09) (621) Mountain Home, TN (James H. Quillen)","28,585","27,776",97.17%,809,2.83%,"25,682","1,098",996,484,154,61,110,1.28,7.44,0.79,,
