facility,Total Completed Appointments 1,Completed within 30 Days 2,Percent Appts Complete d in 30 Days or Less 3,Completed in Over 30 Days 4,Percent Appts Complete d in Over 30 Days 5,"Completed 0-7 Days
6","Completed 8-14
Days 7","Completed 15-30
Days 8","Completed 31-60
Days 9","Completed 61-90
Days 10","Completed 91-120
Days 11","Completed in more than 120
Days 12",PC Avg Wait Time in Days 13,SC Avg Wait Time in Days 14,MH Avg Wait Time in Days 15,,,
"(2V07) (534GB) Myrtle Beach, SC","2,109","2,061",97.72%,48,2.28%,"1,813",117,131,39,4,3,2,4.20,5.57,1.44,,,
"(2V07) (534GC) Beaufort, SC","1,731","1,727",99.77%,4,0.23%,"1,646",52,29,4,0,0,0,0.75,3.21,0.48,,,
"(2V07) (534GD) Goose Creek, SC","3,663","3,572",97.52%,91,2.48%,"3,289",141,142,57,14,15,5,1.15,9.68,0.49,,,
"(2V07) (534GE) Hinesville, GA","3,861","3,830",99.20%,31,0.80%,"3,705",79,46,19,6,2,4,4.13,2.13,0.49,,,
"(2V07) (534GF) Trident 1, SC","2,279","2,276",99.87%,3,0.13%,"2,235",31,10,2,1,0,0,0.58,3.00,,,,
"(2V07) (534QA) Market Commons, SC","2,849","2,812",98.70%,37,1.30%,"2,644",88,80,18,9,5,5,0.05,5.90,1.25,,,
"(2V07) (534QB) Trident 2, SC",952,952,100.00%,0,0.00%,939,8,5,0,0,0,0,,0.00,0.33,,,
"(2V07) (534QC) Charleston City Hall Lane, SC",246,246,100.00%,0,0.00%,242,3,1,0,0,0,0,,,2.05,,,
"(2V07) (544) Columbia, SC HCS","48,012","44,561",92.81%,"3,451",7.19%,"39,043","2,634","2,884","1,879",641,299,632,2.85,17.99,4.59,,,
"(2V07) (544) Columbia, SC (Wm. Jennings Bryan Dorn)","31,283","28,535",91.22%,"2,748",8.78%,"24,742","1,742","2,051","1,500",536,209,503,3.39,18.51,3.68,,,
"(2V07) (544BZ) Greenville, SC","5,655","5,292",93.58%,363,6.42%,"4,625",340,327,159,55,44,105,2.28,18.89,4.16,,,
"(2V07) (544GB) Florence, SC","2,253","2,186",97.03%,67,2.97%,"2,030",94,62,49,10,4,4,3.03,12.39,1.76,,,
"(2V07) (544GC) Rock Hill, SC","1,872","1,813",96.85%,59,3.15%,"1,676",63,74,50,0,2,7,3.54,24.18,3.85,,,
"(2V07) (544GD) Anderson, SC","2,873","2,796",97.32%,77,2.68%,"2,474",153,169,56,11,6,4,1.88,7.35,4.49,,,
"(2V07) (544GE) Orangeburg, SC","1,195","1,187",99.33%,8,0.67%,"1,075",74,38,5,2,0,1,2.75,,1.89,,,
"(2V07) (544GF) Sumter, SC","1,328","1,288",96.99%,40,3.01%,"1,145",74,69,34,4,2,0,3.45,,4.15,,,
"(2V07) (544GG) Spartanburg, SC","1,441","1,377",95.56%,64,4.44%,"1,226",81,70,11,21,29,3,1.53,0.00,23.31,,,
"(2V07) (544HK) Columbia, SC -
Mobile",112,87,77.68%,25,22.32%,50,13,24,15,2,3,5,,,,,,
"(2V07) (557) Dublin, GA HCS","20,148","18,612",92.38%,"1,536",7.62%,"16,415",964,"1,233",844,255,137,300,8.53,20.76,4.38,,,
"(2V07) (557) Dublin, GA (Carl Vinson)","11,394","10,436",91.59%,958,8.41%,"9,192",535,709,477,166,86,229,10.94,24.37,3.63,,,
"(2V07) (557GA) Macon, GA","2,838","2,588",91.19%,250,8.81%,"2,240",149,199,165,31,30,24,8.36,17.48,6.56,,,
"(2V07) (557GB) Albany, GA","1,853","1,719",92.77%,134,7.23%,"1,419",132,168,94,22,8,10,6.84,10.12,4.50,,,
"(2V07) (557GC) Milledgeville, GA",627,615,98.09%,12,1.91%,597,11,7,7,1,1,3,4.03,24.86,2.69,,,
"(2V07) (557GE) Brunswick, GA","1,206","1,141",94.61%,65,5.39%,"1,058",50,33,24,13,6,22,10.49,13.79,2.02,,,
"(2V07) (557GF) Tifton, GA",990,946,95.56%,44,4.44%,848,33,65,25,12,4,3,7.05,9.07,2.13,,,
"(2V07) (557HA) Perry, GA","1,240","1,167",94.11%,73,5.89%,"1,061",54,52,52,10,2,9,4.13,2.81,9.18,,,
(2V07) (619) Central Alabama HCS,"21,295","19,997",93.90%,"1,298",6.10%,"18,168",882,947,579,245,109,365,3.67,19.33,5.53,,,
"(2V07) (619) Montgomery, AL (Central Alabama)","5,335","5,030",94.28%,305,5.72%,"4,538",217,275,141,56,19,89,,8.74,3.71,,,
"(2V07) (619A4) Tuskegee, AL
(Central Alabama)","4,916","4,457",90.66%,459,9.34%,"4,045",202,210,220,74,41,124,5.80,35.41,1.83,,,
"(2V07) (619GA) Columbus, GA","1,922","1,834",95.42%,88,4.58%,"1,708",70,56,18,10,2,58,1.02,28.46,8.34,,,
"(2V07) (619GB) Dothan 1, AL",10,10,100.00%,0,0.00%,10,0,0,0,0,0,0,,,0.00,,,
"(2V07) (619GD) Wiregrass, AL","1,802","1,692",93.90%,110,6.10%,"1,540",61,91,31,33,12,34,5.87,19.61,12.27,,,
"(2V07) (619GE) Monroe County, AL",260,250,96.15%,10,3.85%,236,9,5,7,2,0,1,4.19,0.00,0.76,,,
"(2V07) (619GF) Central Alabama Montgomery, AL","3,655","3,458",94.61%,197,5.39%,"3,181",158,119,87,50,24,36,4.79,14.15,0.62,,,
"(2V07) (619PA) Tuskegee, AL
(Central Alabama) - PRRTP",55,55,100.00%,0,0.00%,54,1,0,0,0,0,0,,,,,,
"Completed Appointment Wait Times National, Facility, and Division Level Summaries.
Wait Time Measured from Preferred Date For the Reporting Period Ending:  December 2020",Total Completed Appointments 1,Completed within 30 Days 2,Percent Appts Complete d in 30 Days or Less 3,Completed in Over 30 Days 4,Percent Appts Complete d in Over 30 Days 5,"Completed 0-7 Days
6","Completed 8-14
Days 7","Completed 15-30
Days 8","Completed 31-60
Days 9","Completed 61-90
Days 10","Completed 91-120
Days 11","Completed in more than 120
Days 12",PC Avg Wait Time in Days 13,SC Avg Wait Time in Days 14,MH Avg Wait Time in Days 15,,,
"(2V07) (619QA) Dothan 2, AL","1,151","1,090",94.70%,61,5.30%,959,44,87,31,11,8,11,2.17,,8.95,,,
"(2V07) (619QB) Fort Benning, GA","2,189","2,121",96.89%,68,3.11%,"1,897",120,104,44,9,3,12,1.38,18.56,10.96,,,
"(2V07) (679) Tuscaloosa, AL HCS","9,299","8,488",91.28%,811,8.72%,"7,784",344,360,355,132,75,249,9.21,20.13,6.05,,,
"(2V07) (679) Tuscaloosa, AL","9,145","8,337",91.16%,808,8.84%,"7,646",342,349,354,132,75,247,9.71,20.13,6.04,,,
"(2V07) (679GA) Selma, AL",154,151,98.05%,3,1.95%,138,2,11,1,0,0,2,4.06,,7.00,,,
"(2V08) (516) Bay Pines, FL HCS","71,066","66,037",92.92%,"5,029",7.08%,"57,127","3,973","4,937","3,233",795,372,629,6.29,11.19,4.94,,,
"(2V08) (516) Bay Pines, FL (C.W. Bill
Young)","37,719","34,983",92.75%,"2,736",7.25%,"30,198","2,081","2,704","1,650",429,230,427,5.56,12.60,3.64,,,
"(2V08) (516BZ) Lee County, FL","16,453","15,302",93.00%,"1,151",7.00%,"13,125",921,"1,256",820,182,52,97,4.48,8.29,7.08,,,
"(2V08) (516GA) Sarasota, FL","3,360","3,126",93.04%,234,6.96%,"2,686",201,239,157,60,11,6,8.48,9.03,3.90,,,
"(2V08) (516GB) St. Petersburg, FL",799,776,97.12%,23,2.88%,711,33,32,17,2,1,3,5.08,0.46,1.31,,,
"(2V08) (516GC) Palm Harbor, FL","2,463","2,384",96.79%,79,3.21%,"2,131",131,122,65,4,3,7,5.37,4.90,6.83,,,
"(2V08) (516GD) Bradenton, FL","3,371","2,865",84.99%,506,15.01%,"2,434",219,212,328,88,60,30,13.72,13.63,3.66,,,
"(2V08) (516GE) Port Charlotte, FL","3,010","2,813",93.46%,197,6.54%,"2,400",213,200,124,18,9,46,9.32,14.35,6.34,,,
"(2V08) (516GF) Naples, FL","2,410","2,331",96.72%,79,3.28%,"2,108",116,107,51,10,6,12,3.55,8.19,10.13,,,
"(2V08) (516GH) Sebring, FL","1,481","1,457",98.38%,24,1.62%,"1,334",58,65,21,2,0,1,2.89,4.34,2.53,,,
"(2V08) (546) Miami, FL HCS","39,037","36,330",93.07%,"2,707",6.93%,"32,130","1,909","2,291","1,586",573,307,241,4.58,9.85,3.56,,,
"(2V08) (546) Miami, FL (Bruce W.
Carter)","24,713","22,765",92.12%,"1,948",7.88%,"20,138","1,149","1,478","1,070",424,255,199,3.89,10.91,1.70,,,
"(2V08) (546BZ) Sunrise, FL (William ""Bill"" Kling)","9,750","9,158",93.93%,592,6.07%,"8,015",520,623,391,126,43,32,5.22,7.75,4.68,,,
"(2V08) (546GA) Miami Flagler, FL",34,34,100.00%,0,0.00%,33,1,0,0,0,0,0,0.07,,,,,
"(2V08) (546GB) Key West, FL",706,687,97.31%,19,2.69%,644,31,12,14,4,1,0,4.64,1.32,5.57,,,
"(2V08) (546GC) Homestead, FL","1,559","1,501",96.28%,58,3.72%,"1,296",116,89,47,5,2,4,6.52,4.19,4.93,,,
"(2V08) (546GD) Pembroke Pines, FL",613,576,93.96%,37,6.04%,505,32,39,22,8,3,4,3.46,7.00,7.20,,,
"(2V08) (546GE) Key Largo, FL",149,127,85.23%,22,14.77%,111,9,7,22,0,0,0,12.24,1.50,5.88,,,
"(2V08) (546GF) Hollywood, FL",857,835,97.43%,22,2.57%,788,26,21,13,5,2,2,3.01,0.65,4.22,,,
"(2V08) (546GH) Deerfield Beach, FL",656,647,98.63%,9,1.37%,600,25,22,7,1,1,0,1.90,0.45,4.61,,,
"(2V08) (548) West Palm Beach, FL HCS","42,299","40,645",96.09%,"1,654",3.91%,"36,863","1,842","1,940","1,092",261,103,198,3.06,6.87,4.65,,,
"(2V08) (548) West Palm Beach, FL","34,232","32,678",95.46%,"1,554",4.54%,"29,486","1,530","1,662","1,021",254,100,179,1.67,6.99,5.16,,,
"(2V08) (548BU) West Palm Beach, FL - VADOM",112,112,100.00%,0,0.00%,107,5,0,0,0,0,0,,,,,,
"(2V08) (548GA) Fort Pierce, FL","1,551","1,550",99.94%,1,0.06%,"1,495",40,15,0,1,0,0,1.47,1.78,0.50,,,
"(2V08) (548GB) Delray Beach, FL","1,550","1,521",98.13%,29,1.87%,"1,361",81,79,21,1,0,7,17.87,7.73,2.59,,,
"(2V08) (548GC) Stuart, FL","1,571","1,571",100.00%,0,0.00%,"1,533",29,9,0,0,0,0,0.31,1.49,0.39,,,
"(2V08) (548GD) Boca Raton, FL",918,914,99.56%,4,0.44%,889,12,13,3,0,0,1,0.95,1.21,,,,
"(2V08) (548GE) Vero Beach, FL",931,905,97.21%,26,2.79%,851,28,26,10,4,2,10,9.58,0.52,6.18,,,
"(2V08) (548GF) Okeechobee, FL",524,524,100.00%,0,0.00%,503,12,9,0,0,0,0,0.39,4.30,0.69,,,
"(2V08) (548QA) Port Saint Lucie, FL",910,870,95.60%,40,4.40%,638,105,127,37,1,1,1,,10.19,0.46,,,
"(2V08) (573) Gainesville, FL HCS","73,071","67,396",92.23%,"5,675",7.77%,"58,951","4,065","4,380","3,019",988,446,"1,222",5.64,14.02,5.35,,,
"(2V08) (573) Gainesville, FL (Malcom Randall)","21,389","19,766",92.41%,"1,623",7.59%,"17,552","1,008","1,206",893,326,114,290,4.33,10.06,3.35,,,
"(2V08) (573A4) Lake City, FL","5,745","5,449",94.85%,296,5.15%,"5,036",204,209,125,62,19,90,2.14,15.46,1.00,,,
"(2V08) (573BY) Jacksonville 1, FL","9,519","8,155",85.67%,"1,364",14.33%,"6,909",552,694,708,185,104,367,7.65,22.85,4.94,,,
"(2V08) (573GA) Valdosta, GA","1,401","1,386",98.93%,15,1.07%,"1,294",48,44,12,2,0,1,2.87,3.14,1.61,,,
"(2V08) (573GD) Ocala, FL","2,706","2,666",98.52%,40,1.48%,"2,438",138,90,29,8,1,2,2.13,4.65,3.58,,,
"(2V08) (573GE) Saint Augustine, FL","2,515","2,448",97.34%,67,2.66%,"2,102",199,147,52,5,4,6,3.91,9.04,2.64,,,
"Completed Appointment Wait Times National, Facility, and Division Level Summaries.
Wait Time Measured from Preferred Date For the Reporting Period Ending:  December 2020",Total Completed Appointments 1,Completed within 30 Days 2,Percent Appts Complete d in 30 Days or Less 3,Completed in Over 30 Days 4,Percent Appts Complete d in Over 30 Days 5,"Completed 0-7 Days
6","Completed 8-14
Days 7","Completed 15-30
Days 8","Completed 31-60
Days 9","Completed 61-90
Days 10","Completed 91-120
Days 11","Completed in more than 120
Days 12",PC Avg Wait Time in Days 13,SC Avg Wait Time in Days 14,MH Avg Wait Time in Days 15,,,
"(2V08) (573GF) Tallahassee, FL (Sergeant Ernest I. ""Boots"" Thomas)","6,528","5,995",91.84%,533,8.16%,"5,262",368,365,268,86,43,136,8.69,11.54,4.22,,,
"(2V08) (573GI) The Villages, FL","7,711","7,141",92.61%,570,7.39%,"5,791",677,673,265,65,84,156,7.63,16.29,3.85,,,
"(2V08) (573GJ) St. Marys, GA",922,897,97.29%,25,2.71%,775,56,66,11,6,1,7,3.26,1.56,14.89,,,
"(2V08) (573GK) Marianna, FL",650,629,96.77%,21,3.23%,531,53,45,11,7,3,0,5.46,3.19,5.18,,,
"(2V08) (573GL) Palatka, FL",794,793,99.87%,1,0.13%,715,43,35,1,0,0,0,1.66,0.91,3.07,,,
"(2V08) (573GM) Waycross, GA",588,584,99.32%,4,0.68%,528,33,23,3,0,0,1,3.27,1.38,2.40,,,
"(2V08) (573GN) Perry, FL",211,211,100.00%,0,0.00%,208,3,0,0,0,0,0,0.64,0.00,0.97,,,
"(2V08) (573GO) Middleburg, FL",911,885,97.15%,26,2.85%,771,52,62,19,4,0,3,4.55,,5.19,,,
"(2V08) (573QA) Gainesville 1-16th Street, FL",305,303,99.34%,2,0.66%,290,6,7,2,0,0,0,,,2.45,,,
"(2V08) (573QB) Gainesville 2-98th Street, FL",472,445,94.28%,27,5.72%,368,30,47,18,6,2,1,,7.09,,,,
"(2V08) (573QC) Gainesville 3-64th Street (C), FL",208,140,67.31%,68,32.69%,79,28,33,40,25,0,3,,24.60,,,,
"(2V08) (573QD) Gainesville 4-64th Street (O), FL","1,064",937,88.06%,127,11.94%,769,86,82,97,18,5,7,,10.33,,,,
"(2V08) (573QE) Gainesville 5-64th Street (D), FL","1,114",946,84.92%,168,15.08%,792,56,98,71,29,11,57,,18.94,,,,
"(2V08) (573QF) Gainesville 6-23rd Avenue, FL",20,19,95.00%,1,5.00%,15,2,2,1,0,0,0,,,,,,
"(2V08) (573QG) Jacksonville Southpoint, FL","4,131","3,802",92.04%,329,7.96%,"3,279",239,284,201,64,31,33,3.55,18.43,11.35,,,
"(2V08) (573QH) Ocala West, FL",957,953,99.58%,4,0.42%,933,15,5,3,1,0,0,,0.67,,,,
"(2V08) (573QJ) Jacksonville 2, FL","2,244","1,894",84.40%,350,15.60%,"1,632",116,146,184,87,24,55,15.18,13.78,12.23,,,
"(2V08) (573QK) Lake City Commerce Drive, FL",966,952,98.55%,14,1.45%,882,53,17,5,2,0,7,4.15,4.50,0.69,,,
"(2V08) (672) San Juan, PR HCS","67,204","65,306",97.18%,"1,898",2.82%,"61,948","1,657","1,701",962,354,146,436,1.39,5.04,1.54,,,
"(2V08) (672) San Juan, PR","43,169","41,425",95.96%,"1,744",4.04%,"38,553","1,363","1,509",906,347,141,350,1.43,5.81,1.84,,,
"(2V08) (672B0) Ponce, PR (Eur�pides
Rubio)","8,920","8,904",99.82%,16,0.18%,"8,805",62,37,13,1,1,1,0.16,1.31,0.50,,,
"(2V08) (672BZ) Mayaguez, PR","6,862","6,823",99.43%,39,0.57%,"6,636",100,87,30,5,2,2,0.48,1.03,1.01,,,
"(2V08) (672GA) Saint Croix, VI",217,217,100.00%,0,0.00%,217,0,0,0,0,0,0,0.01,,,,,
"(2V08) (672GB) Saint Thomas, VI",218,133,61.01%,85,38.99%,113,11,9,1,0,1,83,58.71,,,,,
"(2V08) (672GC) Arecibo, PR","2,885","2,882",99.90%,3,0.10%,"2,798",73,11,2,1,0,0,0.24,0.14,0.03,,,
"(2V08) (672GD) Ceiba, PR","2,903","2,901",99.93%,2,0.07%,"2,861",24,16,1,0,1,0,0.06,1.28,0.04,,,
"(2V08) (672GE) Guayama, PR","1,556","1,547",99.42%,9,0.58%,"1,495",23,29,9,0,0,0,0.23,,3.88,,,
"(2V08) (672QA) Comerio, PR",250,250,100.00%,0,0.00%,250,0,0,0,0,0,0,0.21,,,,,
"(2V08) (672QB) Utuado, PR",110,110,100.00%,0,0.00%,110,0,0,0,0,0,0,0.28,0.50,,,,
"(2V08) (672QC) Vieques, PR",114,114,100.00%,0,0.00%,110,1,3,0,0,0,0,0.80,,,,,
"(2V08) (673) Tampa, FL HCS","64,885","61,711",95.11%,"3,174",4.89%,"54,562","3,345","3,804","1,889",495,193,597,3.93,10.92,2.08,,,
"(2V08) (673) Tampa, FL (James A.
Haley)","27,493","25,667",93.36%,"1,826",6.64%,"22,452","1,393","1,822","1,126",338,121,241,3.83,9.57,3.25,,,
"(2V08) (673BV) Tampa, FL - VADOM",6,6,100.00%,0,0.00%,6,0,0,0,0,0,0,,,,,,
"(2V08) (673BZ) New Port Richey, FL","4,806","4,752",98.88%,54,1.12%,"4,197",355,200,45,4,0,5,4.39,2.59,2.18,,,
"(2V08) (673GB) Lakeland, FL","1,889","1,853",98.09%,36,1.91%,"1,676",92,85,22,8,3,3,2.84,4.54,,,,
"(2V08) (673GC) Brooksville, FL","2,068","2,029",98.11%,39,1.89%,"1,708",143,178,26,4,7,2,4.11,5.18,4.50,,,
"(2V08) (673GF) Zephyrhills, FL",517,506,97.87%,11,2.13%,468,24,14,3,1,2,5,6.17,42.20,0.00,,,
"(2V08) (673GG) South Hillsborough, FL","4,314","4,185",97.01%,129,2.99%,"3,786",228,171,68,28,9,24,4.14,7.86,2.59,,,
"(2V08) (673GH) Lecanto, FL","2,184","2,174",99.54%,10,0.46%,"2,096",46,32,7,0,1,2,1.99,3.50,1.10,,,
"(2V08) (673QA) Forty Sixth Street North, FL","1,357","1,267",93.37%,90,6.63%,958,95,214,90,0,0,0,,6.88,9.26,,,
"(2V08) (673QB) Forty Sixth Street South, FL","8,864","8,420",94.99%,444,5.01%,"7,579",377,464,290,52,22,80,,13.63,1.83,,,
"Completed Appointment Wait Times National, Facility, and Division Level Summaries.
Wait Time Measured from Preferred Date For the Reporting Period Ending:  December 2020",Total Completed Appointments 1,Completed within 30 Days 2,Percent Appts Complete d in 30 Days or Less 3,Completed in Over 30 Days 4,Percent Appts Complete d in Over 30 Days 5,"Completed 0-7 Days
6","Completed 8-14
Days 7","Completed 15-30
Days 8","Completed 31-60
Days 9","Completed 61-90
Days 10","Completed 91-120
Days 11","Completed in more than 120
Days 12",PC Avg Wait Time in Days 13,SC Avg Wait Time in Days 14,MH Avg Wait Time in Days 15,,,
"(2V08) (673QC) West Lakeland, FL",894,890,99.55%,4,0.45%,767,66,57,4,0,0,0,,2.61,0.66,,,
"(2V08) (673QD) Deer Park, FL",269,263,97.77%,6,2.23%,252,5,6,5,0,0,1,,2.65,,,,
"(2V08) (673QE) Highway Nineteen, FL",527,437,82.92%,90,17.08%,347,38,52,29,11,7,43,,24.78,,,,
"(2V08) (673QF) Winners Circle, FL",1,1,100.00%,0,0.00%,1,0,0,0,0,0,0,,,,,,
"(2V08) (673QG) Little Road, FL",295,291,98.64%,4,1.36%,266,9,16,3,1,0,0,,,3.10,,,
"(2V08) (673QH) Bruce B. Downs Boulevard, FL","1,985","1,938",97.63%,47,2.37%,"1,734",88,116,21,12,5,9,,9.68,,,,
"(2V08) (673QI) Medical View Lane, FL",340,337,99.12%,3,0.88%,316,13,8,2,0,0,1,,5.60,2.76,,,
"(2V08) (673QJ) Hidden River, FL","7,076","6,695",94.62%,381,5.38%,"5,953",373,369,148,36,16,181,4.34,29.60,0.63,,,
"(2V08) (675) Orlando, FL HCS","83,913","80,369",95.78%,"3,544",4.22%,"72,003","3,925","4,441","2,555",576,174,239,2.43,7.02,3.84,,,
"(2V08) (675) Orlando, FL","39,026","36,983",94.77%,"2,043",5.23%,"32,698","1,886","2,399","1,465",318,112,148,2.84,6.99,5.41,,,
"(2V08) (675GA) Viera, FL","15,180","14,534",95.74%,646,4.26%,"12,898",810,826,473,100,22,51,1.39,8.84,3.08,,,
"(2V08) (675GB) Daytona Beach, FL (William V. Chappell, Jr.)","10,187","9,798",96.18%,389,3.82%,"9,031",398,369,219,109,30,31,4.14,6.62,0.51,,,
"(2V08) (675GC) Kissimmee, FL","1,462","1,449",99.11%,13,0.89%,"1,338",68,43,11,1,1,0,1.88,0.00,4.86,,,
"(2V08) (675GD) Deltona, FL","1,435","1,411",98.33%,24,1.67%,"1,273",69,69,23,0,0,1,3.35,6.23,1.91,,,
"(2V08) (675GE) Tavares, FL","1,679","1,659",98.81%,20,1.19%,"1,441",111,107,18,1,0,1,3.32,4.85,4.16,,,
"(2V08) (675GF) Clermont, FL","1,147","1,140",99.39%,7,0.61%,"1,018",69,53,5,1,0,1,3.05,2.31,3.32,,,
"(2V08) (675GG) Lake Baldwin, FL","11,401","11,036",96.80%,365,3.20%,"10,030",483,523,312,38,9,6,1.65,5.37,4.36,,,
"(2V08) (675QC) Westside Pavilion, FL","1,913","1,879",98.22%,34,1.78%,"1,807",23,49,26,8,0,0,,,1.22,,,
"(2V08) (675QG) Palm Bay, FL",483,480,99.38%,3,0.62%,469,8,3,3,0,0,0,0.92,,,,,
"(2V09) (596) Lexington, KY HCS","23,468","22,570",96.17%,898,3.83%,"19,792","1,242","1,536",734,105,34,25,3.22,7.92,0.47,,,
"(2V09) (596) Lexington-Leestown, KY (Franklin R. Sousley Campus)","9,668","9,460",97.85%,208,2.15%,"8,478",467,515,176,22,3,7,4.25,6.58,0.45,,,
"(2V09) (596A4) Lexington-Cooper, KY (Troy Bowling Campus)","9,480","8,816",93.00%,664,7.00%,"7,317",644,855,533,83,30,18,,9.22,0.31,,,
"(2V09) (596GA) Somerset, KY","2,014","1,999",99.26%,15,0.74%,"1,850",64,85,14,0,1,0,2.02,3.30,0.48,,,
"(2V09) (596GB) Morehead, KY",496,496,100.00%,0,0.00%,471,7,18,0,0,0,0,0.49,3.32,0.67,,,
"(2V09) (596GC) Hazard, KY",646,645,99.85%,1,0.15%,616,16,13,1,0,0,0,1.72,1.34,0.00,,,
"(2V09) (596GD) Berea, KY","1,164","1,154",99.14%,10,0.86%,"1,060",44,50,10,0,0,0,2.76,4.85,0.92,,,
"(2V09) (603) Louisville, KY HCS","29,438","28,425",96.56%,"1,013",3.44%,"25,702","1,304","1,419",575,173,102,163,2.63,8.62,2.24,,,
"(2V09) (603) Louisville, KY (Robley Rex)","16,023","15,224",95.01%,799,4.99%,"13,410",821,993,422,142,89,146,0.00,8.81,0.70,,,
"(2V09) (603BU) Louisville, KY - VADOM",5,5,100.00%,0,0.00%,5,0,0,0,0,0,0,,,,,,
"(2V09) (603GA) Fort Knox, KY","1,888","1,843",97.62%,45,2.38%,"1,716",71,56,31,10,1,3,3.00,7.68,2.27,,,
"(2V09) (603GB) New Albany, IN","1,888","1,854",98.20%,34,1.80%,"1,714",59,81,29,5,0,0,2.86,3.47,3.61,,,
"(2V09) (603GC) Shively, KY","2,259","2,221",98.32%,38,1.68%,"2,116",53,52,24,4,4,6,3.56,0.47,2.11,,,
"(2V09) (603GD) Stonybrook, KY","2,321","2,273",97.93%,48,2.07%,"2,051",95,127,40,6,2,0,2.39,9.11,1.93,,,
"(2V09) (603GE) Newburg, KY","2,546","2,516",98.82%,30,1.18%,"2,325",122,69,16,5,5,4,2.62,8.30,2.82,,,
"(2V09) (603GF) Grayson County, KY","1,434","1,420",99.02%,14,0.98%,"1,347",48,25,9,0,1,4,1.55,3.57,2.38,,,
"(2V09) (603GG) Scott County, IN",788,784,99.49%,4,0.51%,743,27,14,3,1,0,0,1.05,2.33,2.32,,,
"(2V09) (603GH) Carrollton, KY",262,261,99.62%,1,0.38%,251,8,2,1,0,0,0,1.06,4.10,0.00,,,
(2V09) (603PB) Louisville  (SARRTP),24,24,100.00%,0,0.00%,24,0,0,0,0,0,0,,,0.00,,,
"(2V09) (614) Memphis, TN HCS","30,326","29,047",95.78%,"1,279",4.22%,"26,961",983,"1,103",623,170,56,430,2.55,13.16,1.55,,,
"(2V09) (614) Memphis, TN","19,030","18,054",94.87%,976,5.13%,"16,635",656,763,402,120,44,410,2.95,14.18,0.16,,,
"(2V09) (614GF) Nonconnah Boulevard, TN",10,10,100.00%,0,0.00%,10,0,0,0,0,0,0,2.95,14.18,0.16,,,
"Completed Appointment Wait Times National, Facility, and Division Level Summaries.
Wait Time Measured from Preferred Date For the Reporting Period Ending:  December 2020",Total Completed Appointments 1,Completed within 30 Days 2,Percent Appts Complete d in 30 Days or Less 3,Completed in Over 30 Days 4,Percent Appts Complete d in Over 30 Days 5,"Completed 0-7 Days
6","Completed 8-14
Days 7","Completed 15-30
Days 8","Completed 31-60
Days 9","Completed 61-90
Days 10","Completed 91-120
Days 11","Completed in more than 120
Days 12",PC Avg Wait Time in Days 13,SC Avg Wait Time in Days 14,MH Avg Wait Time in Days 15,,,
"(2V09) (614GG) Jackson, TN",26,25,96.15%,1,3.85%,23,1,1,1,0,0,0,2.95,14.18,0.16,,,
"(2V09) (614GA) Tupelo, MS","1,290","1,252",97.05%,38,2.95%,"1,136",59,57,21,5,2,10,3.13,2.43,13.51,,,
"(2V09) (614GB) Jonesboro, AR",642,629,97.98%,13,2.02%,595,15,19,9,2,1,1,4.99,0.91,3.30,,,
"(2V09) (614GC) Holly Springs, MS",406,377,92.86%,29,7.14%,326,16,35,12,5,5,7,13.49,0.20,10.37,,,
"(2V09) (614GD) Savannah, TN",609,604,99.18%,5,0.82%,577,13,14,2,2,0,1,1.47,3.33,4.15,,,
"(2V09) (614GE) Covington, TN","1,677","1,670",99.58%,7,0.42%,"1,629",26,15,5,1,1,0,0.19,6.50,0.24,,,
"(2V09) (614GF) Nonconnah Boulevard, TN","3,992","3,806",95.34%,186,4.66%,"3,509",134,163,159,23,3,1,1.66,11.49,1.32,,,
"(2V09) (614GG) Jackson, TN","1,665","1,645",98.80%,20,1.20%,"1,572",48,25,8,12,0,0,1.02,4.26,0.02,,,
"(2V09) (614GI) Dyersburg, TN",536,532,99.25%,4,0.75%,523,5,4,4,0,0,0,0.63,0.00,0.95,,,
"(2V09) (614GN) Helena, AR",286,286,100.00%,0,0.00%,269,10,7,0,0,0,0,1.48,0.00,1.80,,,
"(2V09) (614QA) Union Avenue, TN",157,157,100.00%,0,0.00%,157,0,0,0,0,0,0,,,,,,
"(2V09) (621) Mountain Home, TN HCS","32,644","31,741",97.23%,903,2.77%,"28,857","1,558","1,326",585,177,73,68,4.21,5.94,1.55,,,
"(2V09) (621) Mountain Home, TN (James H. Quillen)","21,048","20,436",97.09%,612,2.91%,"18,632",969,835,372,125,60,55,5.32,6.31,0.82,,,
"(2V09) (621BU) Mountain Home, TN
- VADOM",78,78,100.00%,0,0.00%,78,0,0,0,0,0,0,0.06,,,,,
"(2V09) (621BY) Knoxville, TN (William C. Tallent)","5,137","4,949",96.34%,188,3.66%,"4,360",309,280,138,39,8,3,4.53,4.67,2.81,,,
"(2V09) (621GA) Rogersville, TN",399,399,100.00%,0,0.00%,381,11,7,0,0,0,0,1.36,0.00,0.00,,,
"(2V09) (621GC) Norton, VA",642,639,99.53%,3,0.47%,560,49,30,2,0,1,0,3.15,0.00,2.39,,,
"(2V09) (621GG) Morristown, TN",790,787,99.62%,3,0.38%,745,23,19,3,0,0,0,1.51,0.00,0.48,,,
