facility,,Total Completed Appointments 1,,"Completed within 30
Days 2",,Percent Appts Complete d in 30 Days or Less 3,,Completed in Over 30 Days 4,,Percent Appts Complete d in Over 30 Days 5,,"Completed 06
-7 Days 6",,"Completed 8-14
Days 7",,"Completed 15-30
Days 8",,"Completed 31-60 Days
9",,"Completed 61-90
Days 10",,"Completed 91-120
Days 11",,Completed in more than 120 Days 12,,PC Avg Wait Time in Days 13,,SC Avg Wait Time in Days 14,,MH Avg Wait Time in Days 15,,,
"(1V06) (659BZ) South Charlotte, NC",,"18,527",,"16,942",,91.44%,,"1,585",,8.56%,,"14,266",,"1,207",,"1,469",,"1,091",,297,,98,,99,,3.85,,12.21,,5.99,,,
"(1V06) (659GA) North Charlotte, NC",,"2,734",,"2,620",,95.83%,,114,,4.17%,,"2,123",,256,,241,,89,,12,,6,,7,,2.08,,8.36,,5.94,,,
"(2V07) (508) Atlanta, GA HCS",,"68,530",,"64,561",,94.21%,,"3,969",,5.79%,,"56,793",,"3,549",,"4,219",,"2,765",,827,,168,,209,,2.44,,11.14,,2.64,,,
"(2V07) (508) Atlanta, GA",,"31,139",,"28,816",,92.54%,,"2,323",,7.46%,,"24,527",,"1,841",,"2,448",,"1,655",,516,,82,,70,,3.97,,10.23,,2.24,,,
"(2V07) (508GA) Fort McPherson, GA",,"5,770",,"5,507",,95.44%,,263,,4.56%,,"4,987",,238,,282,,182,,56,,17,,8,,2.23,,12.89,,4.59,,,
"(2V07) (508GE) Oakwood, GA",,"3,279",,"3,151",,96.10%,,128,,3.90%,,"2,863",,140,,148,,84,,37,,3,,4,,2.09,,11.29,,2.91,,,
"(2V07) (508GF) Austell, GA",,"1,422",,"1,410",,99.16%,,12,,0.84%,,"1,351",,34,,25,,9,,1,,1,,1,,1.94,,1.94,,1.55,,,
"(2V07) (508GG) Stockbridge, GA",,"2,326",,"2,308",,99.23%,,18,,0.77%,,"2,089",,136,,83,,13,,0,,3,,2,,3.05,,3.09,,1.58,,,
"(2V07) (508GH) Lawrenceville, GA",,"3,000",,"2,935",,97.83%,,65,,2.17%,,"2,683",,130,,122,,58,,2,,2,,3,,2.16,,5.3,,2.97,,,
"(2V07) (508GI) Newnan, GA",,"1,548",,"1,536",,99.22%,,12,,0.78%,,"1,434",,55,,47,,10,,1,,0,,1,,1.24,,5.26,,2.7,,,
"(2V07) (508GJ) Blairsville, GA",,"1,178",,"1,166",,98.98%,,12,,1.02%,,"1,071",,57,,38,,10,,0,,2,,0,,1.38,,4.27,,2.06,,,
"(2V07) (508GK) Carrollton, GA (Trinka Davis Village)",,"2,545",,"2,368",,93.05%,,177,,6.95%,,"1,942",,177,,249,,128,,29,,7,,13,,3.44,,13.47,,1.9,,,
"(2V07) (508GL) Rome, GA",,964,,952,,98.76%,,12,,1.24%,,901,,23,,28,,7,,4,,1,,0,,1.24,,1.98,,0.91,,,
"(2V07) (508GO) Northeast Cobb County, GA",,"1,046",,"1,030",,98.47%,,16,,1.53%,,966,,25,,39,,13,,3,,0,,0,,2.41,,6.64,,1.03,,,
"(2V07) (508QB) East Point, GA",,480,,478,,99.58%,,2,,0.42%,,462,,6,,10,,2,,0,,0,,0,,,,5.64,,0.89,,,
"(2V07) (508QC) Henderson Mill, GA",,"2,173",,"2,168",,99.77%,,5,,0.23%,,"2,113",,28,,27,,4,,0,,0,,1,,,,,,1.1,,,
"(2V07) (508QD) Fulton County, GA",,348,,348,,100.00%,,0,,0.00%,,242,,82,,24,,0,,0,,0,,0,,,,4.25,,9.83,,,
"(2V07) (508QE) Gwinnett County, GA",,"1,262",,"1,249",,98.97%,,13,,1.03%,,"1,192",,35,,22,,12,,1,,0,,0,,1.19,,,,2.08,,,
"(2V07) (508QF) Atlanta North Arcadia Avenue, GA",,"10,050",,"9,139",,90.94%,,911,,9.06%,,"7,970",,542,,627,,578,,177,,50,,106,,2.05,,16.28,,4.59,,,
"Completed Appointment Wait Times National, Facility, and Division Level Summaries. Wait Time Measured from Preferred Date For the Reporting Period Ending: December 2019",,Total Completed Appointments 1,,"Completed within 30
Days 2",,Percent Appts Complete d in 30 Days or Less 3,,Completed in Over 30 Days 4,,Percent Appts Complete d in Over 30 Days 5,,"Completed 06
-7 Days 6",,"Completed 8-14
Days 7",,"Completed 15-30
Days 8",,"Completed 31-60 Days
9",,"Completed 61-90
Days 10",,"Completed 91-120
Days 11",,Completed in more than 120 Days 12,,PC Avg Wait Time in Days 13,,SC Avg Wait Time in Days 14,,MH Avg Wait Time in Days 15,,,
"(2V07) (509) Augusta, GA HCS",,"28,391",,"26,551",,93.52%,,"1,840",,6.48%,,"23,238",,"1,490",,"1,823",,"1,224",,317,,134,,165,,5.11,,9.65,,5.84,,,
"(2V07) (509) Augusta Downtown, GA (Charlie Norwood)",,"11,953",,"10,947",,91.58%,,"1,006",,8.42%,,"9,501",,633,,813,,551,,230,,111,,114,,0,,11.51,,3.19,,,
"(2V07) (509A0) Augusta Uptown, GA",,"13,192",,"12,486",,94.65%,,706,,5.35%,,"10,903",,721,,862,,559,,82,,22,,43,,5.68,,5.63,,6.9,,,
"(2V07) (509GA) Athens, GA",,"1,735",,"1,656",,95.45%,,79,,4.55%,,"1,486",,67,,103,,69,,4,,1,,5,,5.75,,7.36,,1.41,,,
"(2V07) (509GB) Aiken, SC",,994,,976,,98.19%,,18,,1.81%,,886,,55,,35,,15,,0,,0,,3,,3.86,,1.44,,2.5,,,
"(2V07) (509QA) Statesboro, GA (Ray Hendrix)",,517,,486,,94.00%,,31,,6.00%,,462,,14,,10,,30,,1,,0,,0,,4.53,,0.74,,1.9,,,
"(2V07) (521) Birmingham, AL HCS",,"44,129",,"42,249",,95.74%,,"1,880",,4.26%,,"38,243",,"2,078",,"1,928",,"1,333",,360,,93,,94,,2.18,,7.74,,1.97,,,
"(2V07) (521) Birmingham, AL",,"21,438",,"20,358",,94.96%,,"1,080",,5.04%,,"18,337",,935,,"1,086",,749,,208,,52,,71,,2.38,,8.25,,1.88,,,
"(2V07) (521GA) Huntsville, AL",,"6,210",,"5,909",,95.15%,,301,,4.85%,,"5,310",,330,,269,,235,,49,,15,,2,,2.02,,8.76,,2.51,,,
"(2V07) (521GC) Florence, AL",,"1,633",,"1,627",,99.63%,,6,,0.37%,,"1,456",,122,,49,,4,,1,,0,,1,,3.48,,0.06,,0.7,,,
"(2V07) (521GD) Rainbow City, AL",,"1,163",,"1,161",,99.83%,,2,,0.17%,,"1,028",,100,,33,,2,,0,,0,,0,,2.87,,0.88,,2.24,,,
"(2V07) (521GE) Oxford, AL",,"1,669",,"1,651",,98.92%,,18,,1.08%,,"1,551",,57,,43,,18,,0,,0,,0,,1.32,,3.35,,2.39,,,
"(2V07) (521GF) Jasper, AL",,939,,936,,99.68%,,3,,0.32%,,905,,23,,8,,2,,1,,0,,0,,0.67,,1.66,,1.02,,,
"(2V07) (521GG) Bessemer, AL",,791,,759,,95.95%,,32,,4.05%,,694,,33,,32,,25,,6,,1,,0,,2.9,,5.92,,4.01,,,
"(2V07) (521GH) Childersburg, AL",,"1,126",,"1,123",,99.73%,,3,,0.27%,,"1,105",,9,,9,,3,,0,,0,,0,,0.63,,0.09,,0.48,,,
"(2V07) (521GI) Guntersville, AL",,"1,515",,"1,509",,99.60%,,6,,0.40%,,"1,417",,70,,22,,4,,0,,0,,2,,1.34,,2.34,,2.65,,,
"(2V07) (521GJ) Birmingham 7th Avenue South, AL",,"6,046",,"5,699",,94.26%,,347,,5.74%,,"5,093",,298,,308,,238,,71,,23,,15,,2.7,,7.99,,1.89,,,
"(2V07) (521QA) Callahan, AL",,"1,599",,"1,517",,94.87%,,82,,5.13%,,"1,347",,101,,69,,53,,24,,2,,3,,,,5.39,,,,,
"(2V07) (534) Charleston, SC HCS",,"51,344",,"50,621",,98.59%,,723,,1.41%,,"46,897",,"2,161",,"1,563",,593,,96,,17,,17,,1.12,,4.64,,1.24,,,
"(2V07) (534) Charleston, SC (Ralph H. Johnson)",,"24,346",,"23,803",,97.77%,,543,,2.23%,,"21,827",,"1,074",,902,,446,,70,,15,,12,,1.11,,4.81,,0.7,,,
"(2V07) (534BY) Savannah, GA",,"7,332",,"7,275",,99.22%,,57,,0.78%,,"6,783",,310,,182,,49,,5,,1,,2,,1.25,,3.22,,2.43,,,
"(2V07) (534GB) Myrtle Beach, SC",,"2,230",,"2,225",,99.78%,,5,,0.22%,,"2,138",,59,,28,,3,,2,,0,,0,,0.84,,4.52,,1.12,,,
"(2V07) (534GC) Beaufort, SC",,"2,010",,"2,004",,99.70%,,6,,0.30%,,"1,875",,86,,43,,5,,0,,0,,1,,1.33,,4.62,,1.22,,,
"(2V07) (534GD) Goose Creek, SC",,"4,011",,"3,972",,99.03%,,39,,0.97%,,"3,529",,263,,180,,34,,5,,0,,0,,1.68,,5.21,,1.75,,,
"(2V07) (534GE) Hinesville, GA",,"4,206",,"4,189",,99.60%,,17,,0.40%,,"4,085",,75,,29,,11,,4,,1,,1,,0.77,,2.57,,0.84,,,
"(2V07) (534GF) Trident 1, SC",,"1,492",,"1,491",,99.93%,,1,,0.07%,,"1,457",,25,,9,,1,,0,,0,,0,,0.58,,3.62,,,,,
"(2V07) (534QA) Market Commons, SC",,"4,552",,"4,497",,98.79%,,55,,1.21%,,"4,064",,245,,188,,44,,10,,0,,1,,1.85,,5.05,,1.76,,,
"(2V07) (534QB) Trident 2, SC",,795,,795,,100.00%,,0,,0.00%,,770,,23,,2,,0,,0,,0,,0,,,,0.5,,0.8,,,
"(2V07) (534QC) Charleston City Hall Lane, SC",,370,,370,,100.00%,,0,,0.00%,,369,,1,,0,,0,,0,,0,,0,,,,,,,,,
"(2V07) (544) Columbia, SC HCS",,"54,100",,"51,370",,94.95%,,"2,730",,5.05%,,"44,862",,"3,116",,"3,392",,"1,807",,416,,204,,303,,2.79,,11.11,,4.6,,,
"(2V07) (544) Columbia, SC (Wm. Jennings Bryan Dorn)",,"34,880",,"32,758",,93.92%,,"2,122",,6.08%,,"28,126",,"2,097",,"2,535",,"1,413",,299,,168,,242,,3.64,,11.39,,4.69,,,
"(2V07) (544BZ) Greenville, SC",,"6,399",,"6,102",,95.36%,,297,,4.64%,,"5,470",,326,,306,,165,,71,,19,,42,,2.23,,10.64,,5.72,,,
"(2V07) (544GB) Florence, SC",,"2,633",,"2,594",,98.52%,,39,,1.48%,,"2,414",,106,,74,,26,,4,,3,,6,,1.54,,8.42,,3.95,,,
"(2V07) (544GC) Rock Hill, SC",,"2,675",,"2,635",,98.50%,,40,,1.50%,,"2,454",,108,,73,,27,,8,,0,,5,,3.2,,10.11,,2.98,,,
"(2V07) (544GD) Anderson, SC",,"2,965",,"2,826",,95.31%,,139,,4.69%,,"2,390",,210,,226,,116,,17,,3,,3,,2.37,,8.3,,8.68,,,
"(2V07) (544GE) Orangeburg, SC",,"1,293",,"1,283",,99.23%,,10,,0.77%,,"1,180",,53,,50,,6,,4,,0,,0,,2.53,,,,2.18,,,
"(2V07) (544GF) Sumter, SC",,"1,516",,"1,477",,97.43%,,39,,2.57%,,"1,319",,83,,75,,30,,6,,3,,0,,3.04,,,,6.83,,,
"(2V07) (544GG) Spartanburg, SC",,"1,512",,"1,505",,99.54%,,7,,0.46%,,"1,376",,96,,33,,7,,0,,0,,0,,1.43,,0.57,,2.41,,,
"(2V07) (544HK) Columbia, SC - Mobile",,227,,190,,83.70%,,37,,16.30%,,133,,37,,20,,17,,7,,8,,5,,,,17.38,,,,,
"(2V07) (557) Dublin, GA HCS",,"21,774",,"20,183",,92.69%,,"1,591",,7.31%,,"17,989",,"1,077",,"1,117",,879,,418,,158,,136,,3.03,,14.44,,9.12,,,
"(2V07) (557) Dublin, GA (Carl Vinson)",,"12,712",,"11,616",,91.38%,,"1,096",,8.62%,,"10,284",,656,,676,,584,,320,,92,,100,,2.03,,15.94,,6.23,,,
"(2V07) (557GA) Macon, GA",,"3,165",,"2,939",,92.86%,,226,,7.14%,,"2,595",,171,,173,,117,,43,,45,,21,,3.01,,13.15,,12.94,,,
"(2V07) (557GB) Albany, GA",,"1,894",,"1,769",,93.40%,,125,,6.60%,,"1,541",,118,,110,,84,,28,,8,,5,,3.3,,7.32,,11.87,,,
"(2V07) (557GC) Milledgeville, GA",,635,,626,,98.58%,,9,,1.42%,,615,,6,,5,,5,,3,,1,,0,,1.44,,6,,3.66,,,
"(2V07) (557GE) Brunswick, GA",,"1,248",,"1,211",,97.04%,,37,,2.96%,,"1,096",,53,,62,,24,,6,,6,,1,,5.63,,4.28,,2.66,,,
"(2V07) (557GF) Tifton, GA",,"1,269",,"1,237",,97.48%,,32,,2.52%,,"1,171",,33,,33,,23,,6,,1,,2,,3.14,,1.97,,3.33,,,
"(2V07) (557HA) Perry, GA",,851,,785,,92.24%,,66,,7.76%,,687,,40,,58,,42,,12,,5,,7,,6.86,,31.36,,27.86,,,
(2V07) (619) Central Alabama HCS,,"23,632",,"21,992",,93.06%,,"1,640",,6.94%,,"19,111",,"1,288",,"1,593",,"1,043",,338,,130,,129,,5.72,,10.88,,6.86,,,
"(2V07) (619) Montgomery, AL (Central Alabama)",,"5,760",,"5,309",,92.17%,,451,,7.83%,,"4,438",,422,,449,,309,,90,,33,,19,,0,,10.83,,5.8,,,
"(2V07) (619A4) Tuskegee, AL (Central Alabama)",,"6,294",,"5,919",,94.04%,,375,,5.96%,,"5,205",,277,,437,,242,,87,,18,,28,,4.65,,10.02,,1.66,,,
"(2V07) (619GA) Columbus, GA",,"2,035",,"1,858",,91.30%,,177,,8.70%,,"1,678",,76,,104,,98,,34,,17,,28,,5.99,,20.91,,11.26,,,
"(2V07) (619GD) Wiregrass, AL",,"1,647",,"1,376",,83.55%,,271,,16.45%,,"1,179",,59,,138,,130,,70,,35,,36,,17.32,,18.79,,5.74,,,
"Completed Appointment Wait Times National, Facility, and Division Level Summaries. Wait Time Measured from Preferred Date For the Reporting Period Ending: December 2019",,Total Completed Appointments 1,,"Completed within 30
Days 2",,Percent Appts Complete d in 30 Days or Less 3,,Completed in Over 30 Days 4,,Percent Appts Complete d in Over 30 Days 5,,"Completed 06
-7 Days 6",,"Completed 8-14
Days 7",,"Completed 15-30
Days 8",,"Completed 31-60 Days
9",,"Completed 61-90
Days 10",,"Completed 91-120
Days 11",,Completed in more than 120 Days 12,,PC Avg Wait Time in Days 13,,SC Avg Wait Time in Days 14,,MH Avg Wait Time in Days 15,,,
"(2V07) (619GE) Monroe County, AL",,342,,331,,96.78%,,11,,3.22%,,313,,5,,13,,10,,1,,0,,0,,1.28,,,,6.64,,,
"(2V07) (619GF) Central Alabama Montgomery, AL",,"4,377",,"4,206",,96.09%,,171,,3.91%,,"3,665",,308,,233,,115,,35,,16,,5,,3.83,,7.23,,2.13,,,
"(2V07) (619PA) Tuskegee, AL (Central Alabama) - PRRTP",,18,,18,,100.00%,,0,,0.00%,,18,,0,,0,,0,,0,,0,,0,,,,,,,,,
"(2V07) (619QA) Dothan 2, AL",,"1,316",,"1,229",,93.39%,,87,,6.61%,,"1,051",,77,,101,,68,,9,,7,,3,,3.3,,,,11.58,,,
"(2V07) (619QB) Fort Benning, GA",,"1,843",,"1,746",,94.74%,,97,,5.26%,,"1,564",,64,,118,,71,,12,,4,,10,,5.32,,20.84,,2.76,,,
"(2V07) (679) Tuscaloosa, AL HCS",,"9,142",,"8,509",,93.08%,,633,,6.92%,,"7,455",,471,,583,,499,,76,,20,,38,,6.32,,7.59,,8.66,,,
"(2V07) (679) Tuscaloosa, AL",,"8,905",,"8,274",,92.91%,,631,,7.09%,,"7,232",,464,,578,,498,,75,,20,,38,,6.69,,7.59,,8.67,,,
"(2V07) (679BU) Tuscaloosa, AL - VADOM",,72,,72,,100.00%,,0,,0.00%,,72,,0,,0,,0,,0,,0,,0,,,,,,,,,
"(2V07) (679GA) Selma, AL",,125,,124,,99.20%,,1,,0.80%,,120,,3,,1,,0,,1,,0,,0,,0.58,,0,,4.5,,,
"(2V07) (679HK) Tuscaloosa, AL - Mobile",,40,,39,,97.50%,,1,,2.50%,,31,,4,,4,,1,,0,,0,,0,,5.35,,,,,,,
"(2V08) (516) Bay Pines, FL HCS",,"73,381",,"69,738",,95.04%,,"3,643",,4.96%,,"61,263",,"4,032",,"4,443",,"2,646",,538,,225,,234,,3.78,,7.39,,7.47,,,
"(2V08) (516) Bay Pines, FL (C.W. Bill Young)",,"40,083",,"38,254",,95.44%,,"1,829",,4.56%,,"33,588",,"2,226",,"2,440",,"1,358",,291,,76,,104,,3.11,,7.18,,4.95,,,
"(2V08) (516BZ) Lee County, FL",,"16,638",,"15,685",,94.27%,,953,,5.73%,,"13,668",,956,,"1,061",,691,,124,,66,,72,,3.69,,7.69,,7.79,,,
"(2V08) (516GA) Sarasota, FL",,"3,183",,"3,107",,97.61%,,76,,2.39%,,"2,822",,152,,133,,67,,6,,2,,1,,3.66,,0.84,,5.53,,,
"(2V08) (516GB) St. Petersburg, FL",,685,,657,,95.91%,,28,,4.09%,,593,,25,,39,,27,,1,,0,,0,,3.88,,2.23,,7.71,,,
"(2V08) (516GC) Palm Harbor, FL",,"2,312",,"2,239",,96.84%,,73,,3.16%,,"1,952",,130,,157,,56,,13,,2,,2,,4.33,,0.99,,9.5,,,
"(2V08) (516GD) Bradenton, FL",,"3,848",,"3,496",,90.85%,,352,,9.15%,,"3,020",,213,,263,,202,,58,,72,,20,,5.77,,10.16,,17.01,,,
"(2V08) (516GE) Port Charlotte, FL",,"2,521",,"2,297",,91.11%,,224,,8.89%,,"1,928",,174,,195,,150,,36,,6,,32,,5.96,,29.16,,13.55,,,
"(2V08) (516GF) Naples, FL",,"2,371",,"2,274",,95.91%,,97,,4.09%,,"2,058",,106,,110,,86,,8,,1,,2,,4.06,,3.16,,7.34,,,
"(2V08) (516GH) Sebring, FL",,"1,740",,"1,729",,99.37%,,11,,0.63%,,"1,634",,50,,45,,9,,1,,0,,1,,1.08,,4.73,,4.27,,,
"(2V08) (546) Miami, FL HCS",,"45,344",,"42,410",,93.53%,,"2,934",,6.47%,,"37,949",,"2,041",,"2,420",,"1,780",,548,,324,,282,,3.97,,10,,2.85,,,
"(2V08) (546) Miami, FL (Bruce W. Carter)",,"27,742",,"25,727",,92.74%,,"2,015",,7.26%,,"22,954",,"1,224",,"1,549",,"1,161",,373,,247,,234,,3.9,,10.78,,1.86,,,
"(2V08) (546BZ) Sunrise, FL (William ""Bill"" Kling)",,"12,019",,"11,221",,93.36%,,798,,6.64%,,"10,082",,526,,613,,524,,167,,70,,37,,4.35,,9.96,,3.31,,,
"(2V08) (546GA) Miami Flagler, FL",,37,,36,,97.30%,,1,,2.70%,,35,,0,,1,,0,,0,,0,,1,,9.3,,,,,,,
"(2V08) (546GB) Key West, FL",,842,,831,,98.69%,,11,,1.31%,,754,,45,,32,,8,,2,,0,,1,,3.59,,2.38,,3.21,,,
"(2V08) (546GC) Homestead, FL",,"1,841",,"1,776",,96.47%,,65,,3.53%,,"1,567",,97,,112,,57,,2,,2,,4,,4.35,,4.85,,5.93,,,
"(2V08) (546GD) Pembroke Pines, FL",,752,,738,,98.14%,,14,,1.86%,,644,,49,,45,,8,,2,,2,,2,,3.98,,10.11,,4.75,,,
"(2V08) (546GE) Key Largo, FL",,260,,250,,96.15%,,10,,3.85%,,228,,11,,11,,6,,1,,0,,3,,4.8,,13.54,,5.59,,,
"(2V08) (546GF) Hollywood, FL",,"1,102",,"1,083",,98.28%,,19,,1.72%,,996,,50,,37,,15,,1,,3,,0,,2.51,,1.48,,5.11,,,
"(2V08) (546GH) Deerfield Beach, FL",,749,,748,,99.87%,,1,,0.13%,,689,,39,,20,,1,,0,,0,,0,,2.28,,0.68,,2.09,,,
"(2V08) (548) West Palm Beach, FL HCS",,"47,863",,"46,274",,96.68%,,"1,589",,3.32%,,"41,468",,"2,339",,"2,467",,"1,200",,234,,98,,57,,2.02,,5.62,,5.23,,,
"(2V08) (548) West Palm Beach, FL",,"38,862",,"37,344",,96.09%,,"1,518",,3.91%,,"32,990",,"2,065",,"2,289",,"1,144",,229,,93,,52,,2.14,,6.18,,5.85,,,
"(2V08) (548GA) Fort Pierce, FL",,"1,713",,"1,703",,99.42%,,10,,0.58%,,"1,659",,26,,18,,10,,0,,0,,0,,1.19,,1.58,,0.69,,,
"(2V08) (548GB) Delray Beach, FL",,"1,862",,"1,835",,98.55%,,27,,1.45%,,"1,703",,67,,65,,20,,3,,1,,3,,6.6,,1.43,,3.83,,,
"(2V08) (548GC) Stuart, FL",,"1,989",,"1,987",,99.90%,,2,,0.10%,,"1,981",,4,,2,,0,,0,,0,,2,,0.27,,0.08,,0.44,,,
"(2V08) (548GD) Boca Raton, FL",,"1,227",,"1,225",,99.84%,,2,,0.16%,,"1,152",,51,,22,,1,,1,,0,,0,,1.33,,0.72,,4.42,,,
"(2V08) (548GE) Vero Beach, FL",,943,,942,,99.89%,,1,,0.11%,,909,,27,,6,,1,,0,,0,,0,,1.12,,2.06,,1.71,,,
"(2V08) (548GF) Okeechobee, FL",,613,,610,,99.51%,,3,,0.49%,,536,,56,,18,,3,,0,,0,,0,,1.92,,7.72,,5.73,,,
"(2V08) (548QA) Port Saint Lucie, FL",,654,,628,,96.02%,,26,,3.98%,,538,,43,,47,,21,,1,,4,,0,,,,7.41,,8.16,,,
"(2V08) (573) Gainesville, FL HCS",,"82,214",,"77,533",,94.31%,,"4,681",,5.69%,,"66,903",,"5,232",,"5,398",,"3,041",,955,,305,,380,,4.3,,8.86,,4.9,,,
"(2V08) (573) Gainesville, FL (Malcom Randall)",,"23,505",,"22,188",,94.40%,,"1,317",,5.60%,,"19,238",,"1,364",,"1,586",,865,,274,,111,,67,,3.36,,7.65,,3.44,,,
"(2V08) (573A4) Lake City, FL",,"8,023",,"7,757",,96.68%,,266,,3.32%,,"6,994",,353,,410,,161,,59,,21,,25,,7.2,,8.23,,2.2,,,
"(2V08) (573BY) Jacksonville 1, FL",,"10,056",,"8,863",,88.14%,,"1,193",,11.86%,,"7,177",,721,,965,,699,,277,,60,,157,,6.25,,14.45,,5.73,,,
"(2V08) (573GA) Valdosta, GA",,"1,625",,"1,586",,97.60%,,39,,2.40%,,"1,396",,106,,84,,28,,7,,1,,3,,2.44,,12.84,,5.44,,,
"(2V08) (573GD) Ocala, FL",,"2,375",,"2,323",,97.81%,,52,,2.19%,,"2,109",,113,,101,,39,,7,,3,,3,,2.61,,4.1,,6.66,,,
"(2V08) (573GE) Saint Augustine, FL",,"2,642",,"2,569",,97.24%,,73,,2.76%,,"2,257",,195,,117,,63,,6,,3,,1,,2.4,,7.69,,3.78,,,
"(2V08) (573GF) Tallahassee, FL (Sergeant Ernest I. ""Boots"" Thomas)",,"8,369",,"8,080",,96.55%,,289,,3.45%,,"7,211",,448,,421,,235,,33,,12,,9,,4.18,,4.72,,1.5,,,
"(2V08) (573GI) The Villages, FL",,"9,005",,"8,391",,93.18%,,614,,6.82%,,"6,821",,851,,719,,388,,156,,44,,26,,6.61,,8.86,,5.77,,,
"(2V08) (573GJ) St. Marys, GA",,873,,846,,96.91%,,27,,3.09%,,752,,59,,35,,18,,4,,2,,3,,3.07,,0,,10.14,,,
"(2V08) (573GK) Marianna, FL",,"1,053",,"1,049",,99.62%,,4,,0.38%,,971,,49,,29,,4,,0,,0,,0,,1.99,,7.75,,2.04,,,
"(2V08) (573GL) Palatka, FL",,922,,906,,98.26%,,16,,1.74%,,789,,67,,50,,12,,4,,0,,0,,3.06,,4.43,,6.41,,,
"(2V08) (573GM) Waycross, GA",,695,,684,,98.42%,,11,,1.58%,,630,,32,,22,,7,,0,,0,,4,,2.45,,23.48,,1.92,,,
"Completed Appointment Wait Times National, Facility, and Division Level Summaries. Wait Time Measured from Preferred Date For the Reporting Period Ending: December 2019",,Total Completed Appointments 1,,"Completed within 30
Days 2",,Percent Appts Complete d in 30 Days or Less 3,,Completed in Over 30 Days 4,,Percent Appts Complete d in Over 30 Days 5,,"Completed 06
-7 Days 6",,"Completed 8-14
Days 7",,"Completed 15-30
Days 8",,"Completed 31-60 Days
9",,"Completed 61-90
Days 10",,"Completed 91-120
Days 11",,Completed in more than 120 Days 12,,PC Avg Wait Time in Days 13,,SC Avg Wait Time in Days 14,,MH Avg Wait Time in Days 15,,,
"(2V08) (573GN) Perry, FL",,286,,285,,99.65%,,1,,0.35%,,273,,11,,1,,1,,0,,0,,0,,1.17,,1,,1.05,,,
"(2V08) (573QA) Gainesville 1-16th Street, FL",,203,,203,,100.00%,,0,,0.00%,,201,,1,,1,,0,,0,,0,,0,,,,,,0.43,,,
"(2V08) (573QB) Gainesville 2-98th Street, FL",,503,,485,,96.42%,,18,,3.58%,,400,,44,,41,,13,,2,,1,,2,,,,5.72,,,,,
"(2V08) (573QC) Gainesville 3-64th Street (C), FL",,"1,060",,934,,88.11%,,126,,11.89%,,729,,41,,164,,84,,4,,6,,32,,,,12.93,,11.78,,,
"(2V08) (573QD) Gainesville 4-64th Street (O), FL",,953,,912,,95.70%,,41,,4.30%,,745,,91,,76,,34,,4,,1,,2,,,,5.86,,,,,
"(2V08) (573QE) Gainesville 5-64th Street (D), FL",,941,,840,,89.27%,,101,,10.73%,,651,,83,,106,,77,,18,,4,,2,,,,9.89,,,,,
"(2V08) (573QF) Gainesville 6-23rd Avenue, FL",,52,,52,,100.00%,,0,,0.00%,,42,,3,,7,,0,,0,,0,,0,,,,,,0.68,,,
"(2V08) (573QG) Jacksonville Southpoint, FL",,"4,898",,"4,652",,94.98%,,246,,5.02%,,"3,970",,376,,306,,160,,49,,17,,20,,3.77,,9.45,,8.32,,,
"(2V08) (573QH) Ocala West, FL",,"1,135",,"1,006",,88.63%,,129,,11.37%,,936,,35,,35,,98,,25,,4,,2,,,,7.74,,,,,
"(2V08) (573QJ) Jacksonville 2, FL",,"2,207",,"2,090",,94.70%,,117,,5.30%,,"1,877",,124,,89,,55,,26,,15,,21,,3.24,,9.96,,7.49,,,
"(2V08) (573QK) Lake City Commerce Drive, FL",,833,,832,,99.88%,,1,,0.12%,,734,,65,,33,,0,,0,,0,,1,,7.37,,0,,,,,
"(2V08) (672) San Juan, PR HCS",,"65,879",,"63,224",,95.97%,,"2,655",,4.03%,,"56,964",,"3,144",,"3,116",,"1,599",,602,,243,,211,,2.75,,7.77,,4.12,,,
"(2V08) (672) San Juan, PR",,"46,457",,"44,453",,95.69%,,"2,004",,4.31%,,"39,863",,"2,245",,"2,345",,"1,157",,461,,192,,194,,3.1,,7.91,,4.27,,,
"(2V08) (672B0) Ponce, PR (Eur�pides Rubio)",,"7,928",,"7,636",,96.32%,,292,,3.68%,,"6,974",,389,,273,,218,,58,,13,,3,,1.82,,7.15,,1.68,,,
"(2V08) (672BZ) Mayaguez, PR",,"6,561",,"6,303",,96.07%,,258,,3.93%,,"5,788",,249,,266,,159,,64,,27,,8,,1.96,,7.07,,5.29,,,
"(2V08) (672GA) Saint Croix, VI",,214,,210,,98.13%,,4,,1.87%,,203,,2,,5,,2,,1,,1,,0,,0.68,,22.83,,7.64,,,
"(2V08) (672GB) Saint Thomas, VI",,235,,231,,98.30%,,4,,1.70%,,206,,13,,12,,0,,1,,0,,3,,1.53,,40,,18.3,,,
"(2V08) (672GC) Arecibo, PR",,"2,019",,"1,967",,97.42%,,52,,2.58%,,"1,802",,71,,94,,40,,7,,5,,0,,2.81,,4.98,,5.81,,,
"(2V08) (672GD) Ceiba, PR",,"1,449",,"1,420",,98.00%,,29,,2.00%,,"1,249",,108,,63,,12,,10,,4,,3,,4.67,,12.25,,2.69,,,
"(2V08) (672GE) Guayama, PR",,747,,735,,98.39%,,12,,1.61%,,663,,32,,40,,11,,0,,1,,0,,1.69,,7.67,,5.99,,,
