facility,"Total Completed
Appointments 1","Completed within
30 Days 2",,,"Percent
Appts
Complete
d in 30
Days or
Less 3","Completed in
Over 30 Days 4","Percent
Appts
Complete
d in Over
30 Days 5","Completed 0-7 Days
6",,"Completed 8-14
Days 7","Completed 15-30
Days 8","Completed 31-60
Days 9","Completed 61-90
Days 10","Completed 91-120
Days 11","Completed in
more than 120
Days 12","PC Avg
Wait Time
in Days
13","SC Avg
Wait Time
in Days
14","MH Avg
Wait Time
in Days
15",
"(V04) (595) Lebanon, PA",,"25,888","24,952",,,96.38%,936,3.62%,"21,835",,"1,584","1,533",702,181,32,21,5,6,3,
(V04) (595) Lebanon VAMC,,"18,070","17,393",,,96.25%,677,3.75%,"15,364",,"1,028","1,001",482,146,28,21,5,6,2,
(V04) (595GA) Camp Hill,,"2,659","2,573",,,96.77%,86,3.23%,"2,250",,161,162,83,3,0,0,3,6,4,
(V04) (595GC) Lancaster,,"1,325","1,257",,,94.87%,68,5.13%,"1,113",,79,65,48,20,0,0,5,8,2,
(V04) (595GD) Berks County,,"1,011",972,,,96.14%,39,3.86%,841,,63,68,35,4,0,0,5,17,4,
(V04) (595GE) York,,"2,405","2,347",,,97.59%,58,2.41%,"1,970",,189,188,50,5,3,0,5,4,3,
(V04) (595GF) Pottsville,,418,410,,,98.09%,8,1.91%,297,,64,49,4,3,1,0,6,,10,
"(V04) (642) Philadelphia, PA",,"35,941","34,369",,,95.63%,"1,572",4.37%,"30,960",,"1,866","1,543",907,456,157,52,6,6.80,2,
"(V04) (642) Corporal M. J. Crescenz
VAMC",,"30,429","29,220",,,96.03%,"1,209",3.97%,"26,516",,"1,430","1,274",798,278,81,52,6,6,2,
"(V04) (642GA) Outpatient Clinic at
Marshall Hall",,"1,596","1,586",,,99.37%,10,0.63%,"1,444",,80,62,8,2,0,0,3,2,1,
"(V04) (642GC) Victor J. Saracini VA
OPC",,"1,852","1,692",,,91.36%,160,8.64%,"1,365",,214,113,43,90,27,0,4,37,5,
(V04) (642GD) Gloucester County,,"2,064","1,871",,,90.65%,193,9.35%,"1,635",,142,94,58,86,49,0,6,28.00,3,
"(V04) (646) Pittsburgh, PA",,"37,144","36,527",,,98.34%,617,1.66%,"32,547",,"2,218","1,762",510,83,19,5,4,4,1,
"(V04) (646) Pittsburgh VAMC
University Dr",,"23,584","23,056",,,97.76%,528,2.24%,"20,347",,"1,373","1,336",438,72,16,2,8,4,1,
"(V04) (646A4) H. John Heinz III
VAMC",,"7,281","7,215",,,99.09%,66,0.91%,"6,419",,519,277,51,10,2,3,5,2,1,
"(V04) (646BU) Pittsburgh-Heinz VA
DOM",,2,2,,,100.00%,0,0.00%,2,,0,0,0,0,0,0,,,0.00,
(V04) (646GA) Belmont County,,"1,211","1,204",,,99.42%,7,0.58%,"1,063",,98,43,7,0,0,0,3,3,1,
(V04) (646GB) Westmoreland County,,"1,614","1,613",,,99.94%,1,0.06%,"1,481",,83,49,1,0,0,0,1,3,1,
,,,,,,,,,,,,,,,,,,,,
"Completed Appointment Wait Times National,
Facility, and Division Level Summaries.
Wait Time Measured from Preferred Date
For the Reporting Period Ending: December
2015",,"Total Completed
Appointments 1","Completed within
30 Days 2",,,"Percent
Appts
Complete
d in 30
Days or
Less 3","Completed in
Over 30 Days 4","Percent
Appts
Complete
d in Over
30 Days 5","Completed 0-7 Days
6",,"Completed 8-14
Days 7","Completed 15-30
Days 8","Completed 31-60
Days 9","Completed 61-90
Days 10","Completed 91-120
Days 11","Completed in
more than 120
Days 12","PC Avg
Wait Time
in Days
13","SC Avg
Wait Time
in Days
14","MH Avg
Wait Time
in Days
15",
(V04) (646GC) Beaver County,,"1,210","1,209",,,99.92%,1,0.08%,"1,123",,61,25,1,0,0,0,2,3,2,
(V04) (646GD) Washington County,,"1,234","1,221",,,98.95%,13,1.05%,"1,156",,41,24,12,0,1,0,2,3,2,
(V04) (646GE) Fayette County,,"1,008","1,007",,,99.90%,1,0.10%,956,,43,8,0,1,0,0,1,1.20,1,
"(V04) (693) Wilkes-Barre, PA",,"23,918","23,630",,,98.80%,288,1.20%,"21,920",,835,875,199,77,12,0,2.80,2.70,2,
(V04) (693) Wilkes-Barre VAMC,,"16,549","16,369",,,98.91%,180,1.09%,"15,324",,495,550,125,50,5,0,2,3,1,
(V04) (693B4) Allentown,,"4,488","4,432",,,98.75%,56,1.25%,"4,022",,192,218,42,11,3,0,4,2,2.20,
(V04) (693GA) Sayre,,"1,031","1,007",,,97.67%,24,2.33%,906,,59,42,18,5,1,0,2,5,2,
(V04) (693GB) Williamsport,,"1,101","1,075",,,97.64%,26,2.36%,991,,49,35,13,10,3,0,2,1.60,4,
(V04) (693GC) Tobyhanna,,77,77,,,100.00%,0,0.00%,72,,2,3,0,0,0,0,2,0.00,0.00,
(V04) (693GF) Columbia County,,362,361,,,99.72%,1,0.28%,355,,4,2,1,0,0,0,0,,2,
(V04) (693GG) Northampton County,,310,309,,,99.68%,1,0.32%,250,,34,25,0,1,0,0,4,0,10,
"(V05) (512) Baltimore HCS, MD",,"43,511","41,987",,,96.50%,"1,524",3.50%,"37,273",,"2,211","2,503","1,232",198,84,10,7,6,2,
"(V05) (512) Baltimore VA Medical
Center",,"26,039","24,971",,,95.90%,"1,068",4.10%,"22,136",,"1,232","1,603",880,136,46,6,11,5.80,0,
(V05) (512A5) Perry Point,,"7,256","7,142",,,98.43%,114,1.57%,"6,624",,268,250,85,10,15,4,4.10,5,2,
(V05) (512GA) Cambridge,,"2,365","2,226",,,94.12%,139,5.88%,"1,927",,166,133,86,30,23,0,3.00,18.60,6,
(V05) (512GC) Glen Burnie,,"1,771","1,724",,,97.35%,47,2.65%,"1,474",,127,123,46,1,0,0,4,6,3,
(V05) (512GD) Loch Raven,,"3,329","3,218",,,96.67%,111,3.33%,"2,904",,121,193,93,18,0,0,7,4,1,
(V05) (512GE) Pocomoke City,,652,634,,,97.24%,18,2.76%,545,,62,27,16,2,0,0,4,1,11,
(V05) (512GF) Fort Howard,,821,807,,,98.29%,14,1.71%,710,,43,54,13,1,0,0,5,7,3.00,
(V05) (512GG) Fort Meade,,"1,278","1,265",,,98.98%,13,1.02%,953,,192,120,13,0,0,0,5,3,7,
"(V05) (613) Martinsburg, WV",,"31,018","29,781",,,96.01%,"1,237",3.99%,"26,245",,"1,839","1,697",892,195,90,60,3,9.60,4,
"(V05) (613) Martinsburg VA Medical
Center",,"22,569","21,540",,,95.44%,"1,029",4.56%,"18,942",,"1,302","1,296",763,175,66,25,3,9.30,4,
(V05) (613BU) VADOM Martinsburg,,776,775,,,99.87%,1,0.13%,733,,37,5,1,0,0,0,,0.00,2,
(V05) (613GA) Cumberland,,"1,237","1,209",,,97.74%,28,2.26%,"1,032",,93,84,27,1,0,0,5,7,2,
(V05) (613GB) Hagerstown,,"1,413","1,387",,,98.16%,26,1.84%,"1,152",,124,111,24,1,1,0,4,12,5,
(V05) (613GC) Stephens City,,"1,732","1,703",,,98.33%,29,1.67%,"1,531",,94,78,27,2,0,0,3,5,5,
(V05) (613GD) Franklin,,115,115,,,100.00%,0,0.00%,113,,2,0,0,0,0,0,1,,0.00,
(V05) (613GE) Petersburg,,399,399,,,100.00%,0,0.00%,383,,11,5,0,0,0,0,1,2.00,0.00,
(V05) (613GF) Harrisonburg,,"1,171","1,148",,,98.04%,23,1.96%,"1,045",,69,34,19,4,0,0,2,1,5,
(V05) (613GG) Fort Detrick,,"1,606","1,505",,,93.71%,101,6.29%,"1,314",,107,84,31,12,23,35,3,18,2,
"(V05) (688) Washington, DC",,"47,469","45,915",,,96.73%,"1,554",3.27%,"40,182",,"2,566","3,167","1,096",269,180,9,5.20,6,3.80,
"(V05) (688) Washington VA Medical
Center",,"41,226","39,844",,,96.65%,"1,382",3.35%,"34,797",,"2,202","2,845",931,263,179,9,6,7,4,
"(V05) (688DV) Charlotte Hall State
Veterans Home",,49,48,,,97.96%,1,2.04%,27,,8,13,1,0,0,0,,,8.10,
(V05) (688GA) Fort Belvoir,,"2,557","2,451",,,95.85%,106,4.15%,"2,138",,165,148,103,3,0,0,4.90,4,4,
(V05) (688GB) Southeast Washington,,218,217,,,99.54%,1,0.46%,210,,3,4,1,0,0,0,1,1,0.50,
(V05) (688GD) Charlotte Hall,,"1,231","1,201",,,97.56%,30,2.44%,999,,115,87,30,0,0,0,5,5,4,
"(V05) (688GE) Southern Prince
Georges County",,"2,188","2,154",,,98.45%,34,1.55%,"2,011",,73,70,30,3,1,0,2,4,1,
"(V06) (517) Beckley, WV",,"11,884","11,123",,,93.60%,761,6.40%,"9,530",,723,870,489,217,27,28,9,10,4,
(V06) (517) Beckley VAMC,,"11,717","10,963",,,93.56%,754,6.44%,"9,421",,686,856,488,212,26,28,9,9.80,4,
(V06) (517GB) Greenbrier County,,14,14,,,100.00%,0,0.00%,12,,2,0,0,0,0,0,,,4.00,
(V06) (517QA) Princeton,,153,146,,,95.42%,7,4.58%,97,,35,14,1,5,1,0,9,7.50,,
"(V06) (558) Durham, NC",,"44,966","42,141",,,93.72%,"2,825",6.28%,"35,526",,"2,923","3,692","2,129",592,71,33,8,8,3,
(V06) (558) Durham VAMC,,"30,367","28,753",,,94.69%,"1,614",5.31%,"24,340",,"2,061","2,352","1,270",262,52,30,5.90,7,2,
,,,,,,,,,,,,,,,,,,,,
"Completed Appointment Wait Times National,
Facility, and Division Level Summaries.
Wait Time Measured from Preferred Date
For the Reporting Period Ending: December
2015",,"Total Completed
Appointments 1","Completed within
30 Days 2",,,"Percent
Appts
Complete
d in 30
Days or
Less 3","Completed in
Over 30 Days 4","Percent
Appts
Complete
d in Over
30 Days 5","Completed 0-7 Days
6",,"Completed 8-14
Days 7","Completed 15-30
Days 8","Completed 31-60
Days 9","Completed 61-90
Days 10","Completed 91-120
Days 11","Completed in
more than 120
Days 12","PC Avg
Wait Time
in Days
13","SC Avg
Wait Time
in Days
14","MH Avg
Wait Time
in Days
15",
(V06) (558GA) Greenville,,"8,213","7,304",,,88.93%,909,11.07%,"5,949",,510,845,573,318,16,2,10,13,4,
(V06) (558GB) Raleigh,,"4,743","4,653",,,98.10%,90,1.90%,"4,025",,267,361,89,0,0,1,7,6.10,2,
(V06) (558GC) Morehead City,,"1,643","1,431",,,87.10%,212,12.90%,"1,212",,85,134,197,12,3,0,10,5,7,
"(V06) (565) Fayetteville, NC",,"34,895","31,489",,,90.24%,"3,406",9.76%,"25,961",,"2,448","3,080","2,320",679,284,123,12,14,6.10,
(V06) (565) Fayetteville VAMC,,"9,747","9,150",,,93.88%,597,6.12%,"8,308",,471,371,337,258,1,1,0.00,12,5,
(V06) (565GA) Jacksonville VA Clinic,,"2,418","2,130",,,88.09%,288,11.91%,"1,838",,142,150,161,77,27,23,15,13,8,
(V06) (565GC) Wilmington,,"5,831","5,269",,,90.36%,562,9.64%,"4,102",,471,696,388,104,68,2,10,14,8,
(V06) (565GD) Hamlet,,667,568,,,85.16%,99,14.84%,473,,47,48,42,47,9,1,22,0.00,3,
(V06) (565GE) Robeson County,,"1,040",936,,,90.00%,104,10.00%,792,,68,76,61,43,0,0,10,16,8,
(V06) (565GF) Goldsboro,,"1,016",972,,,95.67%,44,4.33%,869,,34,69,42,1,1,0,7,2,2,
(V06) (565GL) Cumberland County,,"13,714","12,018",,,87.63%,"1,696",12.37%,"9,392",,"1,086","1,540","1,273",149,178,96,11.60,16,6,
(V06) (565MB) IDES Fort Bragg,,184,168,,,91.30%,16,8.70%,75,,11,82,16,0,0,0,,13,19,
(V06) (565MD) IDES Camp Lejeune,,278,278,,,100.00%,0,0.00%,112,,118,48,0,0,0,0,,7,11,
"(V06) (590) Hampton, VA",,"28,022","26,290",,,93.82%,"1,732",6.18%,"22,835",,"1,577","1,878","1,317",351,58,6,7,8,7,
(V06) (590) Hampton VAMC,,"23,895","22,420",,,93.83%,"1,475",6.17%,"19,607",,"1,267","1,546","1,110",308,51,6,7,8,7,
(V06) (590GB) Virginia Beach,,"2,038","1,859",,,91.22%,179,8.78%,"1,549",,151,159,129,43,7,0,6,12.30,11,
(V06) (590GC) Albemarle,,944,916,,,97.03%,28,2.97%,823,,68,25,28,0,0,0,3,0.00,4,
(V06) (590GD) Chesapeake,,"1,081","1,032",,,95.47%,49,4.53%,828,,75,129,49,0,0,0,7,0.00,1.80,
(V06) (590MA) IDES Portsmouth,,2,2,,,100.00%,0,0.00%,1,,1,0,0,0,0,0,,,4.50,
(V06) (590MB) IDES Langley,,31,30,,,96.77%,1,3.23%,15,,4,11,1,0,0,0,,10,,
(V06) (590MC) IDES Fort Eustis,,31,31,,,100.00%,0,0.00%,12,,11,8,0,0,0,0,,20.50,10,
"(V06) (637) Asheville, NC",,"31,577","30,399",,,96.27%,"1,178",3.73%,"26,621",,"1,979","1,799",895,228,29,26,5,6,3,
(V06) (637) Charles George VAMC,,"26,592","25,525",,,95.99%,"1,067",4.01%,"22,589",,"1,491","1,445",794,219,28,26,5,6,2,
(V06) (637GA) Franklin,,"1,075","1,066",,,99.16%,9,0.84%,932,,96,38,8,1,0,0,3,4.20,4.80,
(V06) (637GB) Rutherford County,,"1,097","1,065",,,97.08%,32,2.92%,879,,129,57,25,6,1,0,5,7.20,8,
(V06) (637GC) Hickory,,"2,813","2,743",,,97.51%,70,2.49%,"2,221",,263,259,68,2,0,0,6,5,4,
"(V06) (652) Richmond, VA",,"42,566","41,590",,,97.71%,976,2.29%,"36,668",,"2,711","2,211",594,213,117,52,4,5,3,
"(V06) (652) Hunter Holmes McGuire
Hospital",,"38,158","37,270",,,97.67%,888,2.33%,"32,809",,"2,471","1,990",525,201,113,49,4,5.30,3,
(V06) (652GA) Fredericksburg,,"2,539","2,499",,,98.42%,40,1.58%,"2,254",,138,107,24,10,3,3,3,1.50,5,
(V06) (652GE) Charlottesville,,"1,205","1,169",,,97.01%,36,2.99%,"1,064",,42,63,36,0,0,0,5,4,1,
(V06) (652GF) Emporia,,664,652,,,98.19%,12,1.81%,541,,60,51,9,2,1,0,4,0.00,8,
"(V06) (658) Salem, VA",,"30,998","29,960",,,96.65%,"1,038",3.35%,"26,774",,"1,653","1,533",753,212,68,5,4,7,1,
(V06) (658) Salem VAMC,,"25,321","24,330",,,96.09%,991,3.91%,"21,485",,"1,454","1,391",710,208,68,5,4,7.40,1,
(V06) (658GA) Tazewell,,216,214,,,99.07%,2,0.93%,207,,3,4,1,1,0,0,1,,0.00,
(V06) (658GB) Danville,,"1,851","1,849",,,99.89%,2,0.11%,"1,789",,41,19,1,1,0,0,1,0.00,0,
(V06) (658GC) Lynchburg,,"1,337","1,306",,,97.68%,31,2.32%,"1,165",,66,75,31,0,0,0,5,0.00,4,
(V06) (658GD) Staunton,,"1,081","1,081",,,100.00%,0,0.00%,"1,023",,40,18,0,0,0,0,3,0.00,0,
(V06) (658GE) Wytheville,,"1,192","1,180",,,98.99%,12,1.01%,"1,105",,49,26,10,2,0,0,4,0.00,0.00,
"(V06) (659) Salisbury, NC",,"49,003","45,852",,,93.57%,"3,151",6.43%,"38,795",,"3,146","3,911","2,479",492,107,73,7,8,8,
"(V06) (659) W.G. (Bill) Hefner
Salisbury VAMC",,"27,358","25,638",,,93.71%,"1,720",6.29%,"22,246",,"1,510","1,882","1,340",278,29,73,8,8,3,
(V06) (659BY) Winston-Salem,,"9,740","9,332",,,95.81%,408,4.19%,"7,702",,777,853,302,74,32,0,5,8,7,
(V06) (659GA) North Charlotte,,"11,905","10,882",,,91.41%,"1,023",8.59%,"8,847",,859,"1,176",837,140,46,0,8,9,14,
"(V07) (508) Atlanta, GA",,"70,126","65,477",,,93.37%,"4,649",6.63%,"56,323",,"4,337","4,817","3,206","1,208",132,103,7.20,11,2,
,,,,,,,,,,,,,,,,,,,,
"Completed Appointment Wait Times National,
Facility, and Division Level Summaries.
Wait Time Measured from Preferred Date
For the Reporting Period Ending: December
2015",,"Total Completed
Appointments 1","Completed within
30 Days 2",,,"Percent
Appts
Complete
d in 30
Days or
Less 3","Completed in
Over 30 Days 4","Percent
Appts
Complete
d in Over
30 Days 5","Completed 0-7 Days
6",,"Completed 8-14
Days 7","Completed 15-30
Days 8","Completed 31-60
Days 9","Completed 61-90
Days 10","Completed 91-120
Days 11","Completed in
more than 120
Days 12","PC Avg
Wait Time
in Days
13","SC Avg
Wait Time
in Days
14","MH Avg
Wait Time
in Days
15",
"(V07) (508) Atlanta VA Medical
Center",,"40,854","37,800",,,92.52%,"3,054",7.48%,"32,556",,"2,559","2,685","2,045",853,85,71,8,11.50,2,
(V07) (508GA) Fort McPherson,,"4,622","4,573",,,98.94%,49,1.06%,"4,168",,178,227,46,3,0,0,4.30,4.80,2,
(V07) (508GE) Oakwood,,"2,811","2,719",,,96.73%,92,3.27%,"2,282",,223,214,72,20,0,0,8,4,2,
(V07) (508GF) Austell,,"2,032","2,002",,,98.52%,30,1.48%,"1,812",,82,108,16,14,0,0,4.20,0,2,
(V07) (508GG) Stockbridge,,"1,963","1,913",,,97.45%,50,2.55%,"1,657",,150,106,43,6,1,0,5,5,2,
(V07) (508GH) Lawrenceville,,"2,627","2,567",,,97.72%,60,2.28%,"2,141",,180,246,58,1,1,0,6,10,1,
(V07) (508GI) Newnan,,"1,660","1,507",,,90.78%,153,9.22%,"1,239",,137,131,103,47,3,0,11,5,5,
(V07) (508GJ) Blairsville,,958,930,,,97.08%,28,2.92%,851,,52,27,18,10,0,0,5,1,2,
"(V07) (508GK) Trinka Davis Veterans
Village",,"2,411","2,296",,,95.23%,115,4.77%,"1,841",,222,233,77,38,0,0,9,7,3,
(V07) (508QF) Atlanta VA Clinic,,"10,188","9,170",,,90.01%,"1,018",9.99%,"7,776",,554,840,728,216,42,32,8,10,3,
"(V07) (509) Augusta, GA",,"26,927","25,026",,,92.94%,"1,901",7.06%,"21,270",,"1,749","2,007","1,331",427,85,58,7,12,4,
"(V07) (509) Charlie Norwood VA
Medical Center",,"11,930","10,772",,,90.29%,"1,158",9.71%,"9,253",,667,852,795,274,52,37,,12,1,
(V07) (509A0) Lenwood (Uptown),,"11,586","10,990",,,94.86%,596,5.14%,"9,181",,893,916,396,147,32,21,8,10,3,
(V07) (509GA) Athens,,"1,803","1,678",,,93.07%,125,6.93%,"1,397",,119,162,120,4,1,0,10,6,7,
(V07) (509GB) Aiken,,"1,608","1,586",,,98.63%,22,1.37%,"1,439",,70,77,20,2,0,0,3,2,7,
"(V07) (521) Birmingham, AL",,"43,820","41,913",,,95.65%,"1,907",4.35%,"36,655",,"2,780","2,478","1,408",386,68,45,2,10,3,
"(V07) (521) Birmingham VA Medical
Center",,"30,155","28,517",,,94.57%,"1,638",5.43%,"24,366",,"2,112","2,039","1,178",351,66,43,3,10,3,
(V07) (521GA) Huntsville AL,,"4,794","4,629",,,96.56%,165,3.44%,"4,006",,314,309,137,24,2,2,4,7.60,4.60,
(V07) (521GB) Decatur AL/Madison,,8,8,,,100.00%,0,0.00%,8,,0,0,0,0,0,0,,0.00,,
"(V07) (521GC) Florence AL (Shoals
Area)",,"1,548","1,548",,,100.00%,0,0.00%,"1,442",,94,12,0,0,0,0,1,2,2,
(V07) (521GD) Rainbow City,,"1,258","1,255",,,99.76%,3,0.24%,"1,190",,40,25,2,1,0,0,0,0,3,
(V07) (521GE) Anniston/Oxford AL,,"1,576","1,540",,,97.72%,36,2.28%,"1,386",,105,49,36,0,0,0,1.60,1,7,
(V07) (521GF) Jasper AL,,929,905,,,97.42%,24,2.58%,881,,8,16,22,2,0,0,0,17,0,
(V07) (521GG) Bessemer,,"1,149","1,128",,,98.17%,21,1.83%,"1,092",,21,15,20,1,0,0,1,4,1,
(V07) (521GH) Childersburg,,"1,105","1,104",,,99.91%,1,0.09%,"1,087",,13,4,1,0,0,0,1,0,1,
(V07) (521GI) Guntersville,,"1,298","1,279",,,98.54%,19,1.46%,"1,197",,73,9,12,7,0,0,1,17,3,
"(V07) (534) Charleston, SC",,"51,458","50,065",,,97.29%,"1,393",2.71%,"45,184",,"2,387","2,494",978,332,68,15,3,8,2,
"(V07) (534) Ralph H Johnsons VA
Medical Center",,"27,501","26,371",,,95.89%,"1,130",4.11%,"24,020",,"1,066","1,285",758,306,58,8,3.60,8,1,
(V07) (534BY) Savannah,,"6,319","6,273",,,99.27%,46,0.73%,"5,639",,273,361,37,3,3,3,4,4,2,
(V07) (534GB) Myrtle Beach,,"6,103","6,000",,,98.31%,103,1.69%,"5,044",,503,453,81,18,4,0,4.70,9,4,
(V07) (534GC) Beaufort,,"2,559","2,521",,,98.52%,38,1.48%,"2,383",,80,58,31,2,3,2,2,8,2,
(V07) (534GD) Goose Creek,,"5,406","5,371",,,99.35%,35,0.65%,"4,728",,378,265,31,2,0,2,3,6,3,
(V07) (534GE) Hinesville,,"3,404","3,363",,,98.80%,41,1.20%,"3,204",,87,72,40,1,0,0,3,3,1,
(V07) (534QC) Charleston,,166,166,,,100.00%,0,0.00%,166,,0,0,0,0,0,0,,,,
"(V07) (544) Columbia, SC",,"51,433","48,490",,,94.28%,"2,943",5.72%,"41,003",,"3,427","4,060","1,896",574,264,209,6,12,2,
"(V07) (544) Wm. Jennings Bryan
Dorn VA Medical Center",,"34,845","32,829",,,94.21%,"2,016",5.79%,"27,485",,"2,486","2,858","1,326",463,156,71,4,11,2,
(V07) (544BZ) Greenville SC,,"6,137","5,572",,,90.79%,565,9.21%,"4,725",,283,564,236,90,101,138,8,22,4,
(V07) (544GB) Florence,,"2,014","1,919",,,95.28%,95,4.72%,"1,611",,121,187,93,2,0,0,7,14,0,
(V07) (544GC) Rock Hill,,"2,710","2,703",,,99.74%,7,0.26%,"2,577",,93,33,3,3,1,0,2,0.00,2,
(V07) (544GD) Anderson,,"1,283","1,124",,,87.61%,159,12.39%,880,,94,150,144,9,6,0,15.30,,4,
(V07) (544GE) Orangeburg,,"1,144","1,140",,,99.65%,4,0.35%,"1,056",,62,22,4,0,0,0,2,,2,
(V07) (544GF) Sumter,,"1,591","1,573",,,98.87%,18,1.13%,"1,314",,121,138,16,2,0,0,6,,2,
,,,,,,,,,,,,,,,,,,,,
"Completed Appointment Wait Times National,
Facility, and Division Level Summaries.
Wait Time Measured from Preferred Date
For the Reporting Period Ending: December
2015",,"Total Completed
Appointments 1","Completed within
30 Days 2",,,"Percent
Appts
Complete
d in 30
Days or
Less 3","Completed in
Over 30 Days 4","Percent
Appts
Complete
d in Over
30 Days 5","Completed 0-7 Days
6",,"Completed 8-14
Days 7","Completed 15-30
Days 8","Completed 31-60
Days 9","Completed 61-90
Days 10","Completed 91-120
Days 11","Completed in
more than 120
Days 12","PC Avg
Wait Time
in Days
13","SC Avg
Wait Time
in Days
14","MH Avg
Wait Time
in Days
15",
(V07) (544GG) Spartanburg,,"1,542","1,474",,,95.59%,68,4.41%,"1,246",,139,89,64,4,0,0,7,5,3,
"(V07) (544HK) Columbia VA Mobile
Clinic",,167,156,,,93.41%,11,6.59%,109,,28,19,10,1,0,0,,8,,
"(V07) (557) Dublin, GA",,"23,251","21,418",,,92.12%,"1,833",7.88%,"18,201",,"1,386","1,831","1,435",224,113,61,13,11,4,
"(V07) (557) Carl Vinson VA Medical
Center",,"16,488","15,165",,,91.98%,"1,323",8.02%,"12,948",,818,"1,399",995,171,104,53,17.10,12,3,
(V07) (557GA) Macon,,"1,549","1,468",,,94.77%,81,5.23%,"1,187",,230,51,62,18,1,0,5,1.80,7,
(V07) (557GB) Albany,,"2,125","1,936",,,91.11%,189,8.89%,"1,668",,105,163,171,11,3,4,11,8,2,
(V07) (557GC) Milledgeville,,746,744,,,99.73%,2,0.27%,679,,42,23,1,0,0,1,4,0,3,
(V07) (557GE) Brunswick,,"1,423","1,343",,,94.38%,80,5.62%,"1,082",,126,135,73,5,1,1,6.50,13,5,
(V07) (557HA) Perry,,920,762,,,82.83%,158,17.17%,637,,65,60,133,19,4,2,19,12,7,
"(V07) (619) Central Alabama Veterans HCS, AL",,"27,452","25,639",,,93.40%,"1,813",6.60%,"21,932",,"1,689","2,018","1,246",423,114,30,5.50,11,7,
"(V07) (619) Central Alabama VAMC -
Montgomery",,"10,929","10,168",,,93.04%,761,6.96%,"8,500",,635,"1,033",497,201,49,14,5,10,7,
"(V07) (619A4) Central Alabama
VAMC - Tuskegee",,"9,316","8,782",,,94.27%,534,5.73%,"7,928",,445,409,364,118,37,15,4,12,2,
(V07) (619GA) Columbus,,896,866,,,96.65%,30,3.35%,764,,58,44,11,19,0,0,,4,6,
(V07) (619GB) Dothan 1,,"1,546","1,440",,,93.14%,106,6.86%,968,,261,211,77,24,4,1,7,,18,
(V07) (619GD) Wiregrass,,"1,663","1,526",,,91.76%,137,8.24%,"1,151",,175,200,129,7,1,0,5,15.90,6,
(V07) (619GE) Monroe County,,523,518,,,99.04%,5,0.96%,510,,6,2,2,3,0,0,0,,4.20,
(V07) (619PA) Montgomery PRRTP,,6,5,,,83.33%,1,16.67%,5,,0,0,1,0,0,0,,,,
(V07) (619QB) Fort Benning,,"2,573","2,334",,,90.71%,239,9.29%,"2,106",,109,119,165,51,23,0,7,2,19,
"(V07) (679) Tuscaloosa, AL",,"10,282","9,975",,,97.01%,307,2.99%,"9,279",,321,375,249,41,10,7,4,4,2,
"(V07) (679) Tuscaloosa VA Medical
Center",,"10,126","9,819",,,96.97%,307,3.03%,"9,130",,315,374,249,41,10,7,5,4,2,
"(V07) (679HK) Tuscaloosa VA Mobile
Clinic",,156,156,,,100.00%,0,0.00%,149,,6,1,0,0,0,0,1,,,
"(V08) (516) Bay Pines, FL",,"81,109","79,556",,,98.09%,"1,553",1.91%,"71,767",,"3,942","3,847","1,123",349,60,21,2,5,2,
(V08) (516) C.W. Bill Young VAMC,,"45,799","45,146",,,98.57%,653,1.43%,"40,330",,"2,391","2,425",595,53,4,1,2,5,2,
(V08) (516BZ) Lee County,,"17,239","16,525",,,95.86%,714,4.14%,"14,824",,845,856,393,263,40,18,2,7,4,
(V08) (516GA) Sarasota,,"3,382","3,366",,,99.53%,16,0.47%,"3,070",,173,123,15,1,0,0,3,1,1,
(V08) (516GB) St. Petersburg,,626,622,,,99.36%,4,0.64%,584,,26,12,3,1,0,0,2,3,1,
(V08) (516GC) Palm Harbor,,"2,470","2,449",,,99.15%,21,0.85%,"2,266",,99,84,18,3,0,0,3,1,1,
(V08) (516GD) Bradenton,,"4,364","4,330",,,99.22%,34,0.78%,"3,981",,180,169,31,3,0,0,3,1,4,
(V08) (516GE) Port Charlotte,,"3,239","3,140",,,96.94%,99,3.06%,"2,902",,122,116,56,25,16,2,3,8,2,
(V08) (516GF) Naples,,"2,355","2,351",,,99.83%,4,0.17%,"2,248",,75,28,4,0,0,0,1,1,3,
(V08) (516GH) Sebring,,"1,635","1,627",,,99.51%,8,0.49%,"1,562",,31,34,8,0,0,0,1,6.60,2,
"(V08) (546) Miami, FL",,"51,057","50,397",,,98.71%,660,1.29%,"47,353",,"1,775","1,269",508,132,16,4,3,3,1,
(V08) (546) Bruce W Carter VAMC,,"30,876","30,457",,,98.64%,419,1.36%,"28,877",,863,717,347,70,1,1,3.60,2,0,
"(V08) (546BZ) William Bill Kling
VAOC",,"12,766","12,554",,,98.34%,212,1.66%,"11,461",,677,416,135,59,15,3,3,4.50,1,
(V08) (546GA) Miami,,"1,037","1,037",,,100.00%,0,0.00%,"1,035",,1,1,0,0,0,0,1,,0.70,
(V08) (546GB) Key West,,"1,481","1,472",,,99.39%,9,0.61%,"1,383",,65,24,7,2,0,0,2,1,3,
(V08) (546GC) Homestead,,"1,508","1,500",,,99.47%,8,0.53%,"1,402",,69,29,7,1,0,0,1,1,3,
(V08) (546GD) Pembroke Pines,,916,907,,,99.02%,9,0.98%,811,,42,54,9,0,0,0,3,2,4,
(V08) (546GE) Key Largo,,393,393,,,100.00%,0,0.00%,374,,13,6,0,0,0,0,2,2,0,
